Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,10.2047,min
Min cumulative indexing time across primary shards,,2.5225,min
Median cumulative indexing time across primary shards,,2.5297833333333335,min
Max cumulative indexing time across primary shards,,5.152416666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.4810666666666665,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.0492,min
Median cumulative merge time across primary shards,,1.1218000000000001,min
Max cumulative merge time across primary shards,,1.3100666666666667,min
Cumulative merge throttle time of primary shards,,0.9857666666666667,min
Min cumulative merge throttle time across primary shards,,0.29746666666666666,min
Median cumulative merge throttle time across primary shards,,0.29801666666666665,min
Max cumulative merge throttle time across primary shards,,0.39028333333333337,min
Cumulative refresh time of primary shards,,0.7491833333333333,min
Cumulative refresh count of primary shards,,52,
Min cumulative refresh time across primary shards,,0.22423333333333334,min
Median cumulative refresh time across primary shards,,0.23886666666666667,min
Max cumulative refresh time across primary shards,,0.2860833333333333,min
Cumulative flush time of primary shards,,0.44726666666666665,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.0953,min
Median cumulative flush time across primary shards,,0.13611666666666666,min
Max cumulative flush time across primary shards,,0.21585000000000001,min
Total Young Gen GC time,,394.317,s
Total Young Gen GC count,,5352,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.750277108512819,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,index-stats,1999.05,ops/s
Mean Throughput,index-stats,1999.85,ops/s
Median Throughput,index-stats,1999.58,ops/s
Max Throughput,index-stats,2001.58,ops/s
50th percentile latency,index-stats,2.4062825004875776,ms
90th percentile latency,index-stats,3.0455198011622997,ms
99th percentile latency,index-stats,3.6275240399663744,ms
99.9th percentile latency,index-stats,9.694359010422042,ms
99.99th percentile latency,index-stats,63.58930954279017,ms
100th percentile latency,index-stats,67.07504199948744,ms
50th percentile service time,index-stats,1.5571439998893766,ms
90th percentile service time,index-stats,2.2151456994834007,ms
99th percentile service time,index-stats,2.660212410610257,ms
99.9th percentile service time,index-stats,3.139932196698314,ms
99.99th percentile service time,index-stats,62.57307951931266,ms
100th percentile service time,index-stats,65.99951599855558,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1499.98,ops/s
Mean Throughput,node-stats,1935.25,ops/s
Median Throughput,node-stats,1990.60,ops/s
Max Throughput,node-stats,1995.01,ops/s
50th percentile latency,node-stats,4.136554000979231,ms
90th percentile latency,node-stats,5.355828500978532,ms
99th percentile latency,node-stats,6.3763769604702265,ms
99.9th percentile latency,node-stats,40.77462141834527,ms
99.99th percentile latency,node-stats,73.94448766366197,ms
100th percentile latency,node-stats,98.77609599971038,ms
50th percentile service time,node-stats,3.0721100010850932,ms
90th percentile service time,node-stats,3.9932140989549225,ms
99th percentile service time,node-stats,4.624091879250046,ms
99.9th percentile service time,node-stats,10.577652102223945,ms
99.99th percentile service time,node-stats,72.85323752764522,ms
100th percentile service time,node-stats,98.0998550003278,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1996.39,ops/s
Mean Throughput,match-all,1998.30,ops/s
Median Throughput,match-all,1998.37,ops/s
Max Throughput,match-all,1999.68,ops/s
50th percentile latency,match-all,2.9133285006537335,ms
90th percentile latency,match-all,3.4698439989369945,ms
99th percentile latency,match-all,11.747198711255162,ms
99.9th percentile latency,match-all,81.10228761467869,ms
99.99th percentile latency,match-all,122.9001101119778,ms
100th percentile latency,match-all,124.99022500014689,ms
50th percentile service time,match-all,2.078577999782283,ms
90th percentile service time,match-all,2.676397799041297,ms
99th percentile service time,match-all,3.2871101984346756,ms
99.9th percentile service time,match-all,73.26533844305595,ms
99.99th percentile service time,match-all,82.5738281872073,ms
100th percentile service time,match-all,114.09758199988573,ms
error rate,match-all,0.00,%
Min Throughput,term,1998.75,ops/s
Mean Throughput,term,1999.33,ops/s
Median Throughput,term,1999.40,ops/s
Max Throughput,term,1999.59,ops/s
50th percentile latency,term,2.764526501778164,ms
90th percentile latency,term,3.511155502019392,ms
99th percentile latency,term,32.77608137872521,ms
99.9th percentile latency,term,131.54096008497643,ms
99.99th percentile latency,term,181.01834262262156,ms
100th percentile latency,term,195.73458500053675,ms
50th percentile service time,term,1.8677005000427016,ms
90th percentile service time,term,2.6484521991733345,ms
99th percentile service time,term,3.406299139169282,ms
99.9th percentile service time,term,99.32566000412079,ms
99.99th percentile service time,term,161.5708319433827,ms
100th percentile service time,term,194.50070600032632,ms
error rate,term,0.00,%
Min Throughput,phrase,1998.30,ops/s
Mean Throughput,phrase,1999.41,ops/s
Median Throughput,phrase,1999.25,ops/s
Max Throughput,phrase,2000.94,ops/s
50th percentile latency,phrase,3.1681825003033737,ms
90th percentile latency,phrase,3.8341169005434494,ms
99th percentile latency,phrase,10.490668630245652,ms
99.9th percentile latency,phrase,64.43120411299824,ms
