Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.654016666666667,min
Min cumulative indexing time across primary shards,,2.6998166666666665,min
Median cumulative indexing time across primary shards,,2.96735,min
Max cumulative indexing time across primary shards,,2.98685,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.284383333333333,min
Cumulative merge count of primary shards,,78,
Min cumulative merge time across primary shards,,1.4094666666666666,min
Median cumulative merge time across primary shards,,1.4297499999999999,min
Max cumulative merge time across primary shards,,1.4451666666666665,min
Cumulative merge throttle time of primary shards,,1.075,min
Min cumulative merge throttle time across primary shards,,0.31201666666666666,min
Median cumulative merge throttle time across primary shards,,0.3375,min
Max cumulative merge throttle time across primary shards,,0.4254833333333333,min
Cumulative refresh time of primary shards,,0.45868333333333333,min
Cumulative refresh count of primary shards,,61,
Min cumulative refresh time across primary shards,,0.12671666666666667,min
Median cumulative refresh time across primary shards,,0.14141666666666666,min
Max cumulative refresh time across primary shards,,0.19055,min
Cumulative flush time of primary shards,,0.27898333333333336,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08441666666666667,min
Median cumulative flush time across primary shards,,0.08945,min
Max cumulative flush time across primary shards,,0.10511666666666668,min
Total Young Gen GC time,,120.265,s
Total Young Gen GC count,,5180,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.689806854352355,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.77,ops/s
Mean Throughput,index-stats,1999.68,ops/s
Median Throughput,index-stats,1999.46,ops/s
Max Throughput,index-stats,2001.33,ops/s
50th percentile latency,index-stats,1.8752990008579218,ms
90th percentile latency,index-stats,2.356459001020994,ms
99th percentile latency,index-stats,2.7339556502010973,ms
99.9th percentile latency,index-stats,9.879003204139897,ms
99.99th percentile latency,index-stats,62.324272858728435,ms
100th percentile latency,index-stats,70.71313099913823,ms
50th percentile service time,index-stats,1.1081165002906346,ms
90th percentile service time,index-stats,1.3701268007935141,ms
