Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.723116666666666,min
Min cumulative indexing time across primary shards,,2.8260333333333336,min
Median cumulative indexing time across primary shards,,2.9133666666666667,min
Max cumulative indexing time across primary shards,,2.9837166666666666,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.5817166666666664,min
Cumulative merge count of primary shards,,63,
Min cumulative merge time across primary shards,,1.16695,min
Median cumulative merge time across primary shards,,1.19245,min
Max cumulative merge time across primary shards,,1.2223166666666667,min
Cumulative merge throttle time of primary shards,,1.05525,min
Min cumulative merge throttle time across primary shards,,0.29196666666666665,min
Median cumulative merge throttle time across primary shards,,0.35175,min
Max cumulative merge throttle time across primary shards,,0.41153333333333336,min
Cumulative refresh time of primary shards,,0.5847833333333334,min
Cumulative refresh count of primary shards,,47,
Min cumulative refresh time across primary shards,,0.16233333333333333,min
Median cumulative refresh time across primary shards,,0.2079,min
Max cumulative refresh time across primary shards,,0.21455,min
Cumulative flush time of primary shards,,0.34891666666666665,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07843333333333334,min
Median cumulative flush time across primary shards,,0.07995,min
Max cumulative flush time across primary shards,,0.19053333333333333,min
Total Young Gen GC time,,247.468,s
Total Young Gen GC count,,5734,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.742875401861966,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.48,ops/s
Mean Throughput,index-stats,1999.40,ops/s
Median Throughput,index-stats,1999.33,ops/s
Max Throughput,index-stats,2000.22,ops/s
50th percentile latency,index-stats,2.4592179997853236,ms
90th percentile latency,index-stats,3.292543299903627,ms
99th percentile latency,index-stats,3.856550089913071,ms
99.9th percentile latency,index-stats,11.6410663238787,ms
99.99th percentile latency,index-stats,68.06195601989812,ms
100th percentile latency,index-stats,70.95185699836293,ms
50th percentile service time,index-stats,1.5917840000838623,ms
90th percentile service time,index-stats,2.4290767009006227,ms
99th percentile service time,index-stats,2.9180011806238335,ms
99.9th percentile service time,index-stats,6.8292203628973125,ms
99.99th percentile service time,index-stats,67.30923457537628,ms
100th percentile service time,index-stats,70.56967199969222,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1990.06,ops/s
Mean Throughput,node-stats,1997.65,ops/s
Median Throughput,node-stats,1998.25,ops/s
Max Throughput,node-stats,2000.03,ops/s
50th percentile latency,node-stats,3.796262500145531,ms
90th percentile latency,node-stats,4.940604800322035,ms
99th percentile latency,node-stats,7.5385302304131265,ms
99.9th percentile latency,node-stats,56.80898621544298,ms
99.99th percentile latency,node-stats,88.76951294946907,ms
100th percentile latency,node-stats,137.655705000725,ms
50th percentile service time,node-stats,2.944698000646895,ms
90th percentile service time,node-stats,3.8598066992562963,ms
99th percentile service time,node-stats,4.920942970893522,ms
99.9th percentile service time,node-stats,18.948671075479872,ms
99.99th percentile service time,node-stats,76.8099770749342,ms
100th percentile service time,node-stats,136.2372179992235,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1996.99,ops/s
Mean Throughput,match-all,1998.59,ops/s
Median Throughput,match-all,1998.62,ops/s
Max Throughput,match-all,1999.82,ops/s
50th percentile latency,match-all,2.7675715000441414,ms
90th percentile latency,match-all,3.6602454018066055,ms
99th percentile latency,match-all,4.951431698591479,ms
99.9th percentile latency,match-all,47.52083430407855,ms
99.99th percentile latency,match-all,86.79279337677352,ms
100th percentile latency,match-all,121.20609900011914,ms
50th percentile service time,match-all,1.9843734999085427,ms
90th percentile service time,match-all,2.8477314990595914,ms
99th percentile service time,match-all,3.9708964398596445,ms
99.9th percentile service time,match-all,45.748918398843834,ms
99.99th percentile service time,match-all,62.681806743884735,ms
100th percentile service time,match-all,63.22827199983294,ms
error rate,match-all,0.00,%
Min Throughput,term,1998.64,ops/s
Mean Throughput,term,1999.67,ops/s
Median Throughput,term,1999.39,ops/s
Max Throughput,term,2001.63,ops/s
50th percentile latency,term,2.793365501020162,ms
90th percentile latency,term,3.733557599298365,ms
99th percentile latency,term,4.550070230798156,ms
99.9th percentile latency,term,84.42846088361058,ms
99.99th percentile latency,term,148.77140324188585,ms
100th percentile latency,term,191.12617099926865,ms
50th percentile service time,term,2.006447500207287,ms
90th percentile service time,term,2.956148798512004,ms
99th percentile service time,term,3.7157000402476132,ms
99.9th percentile service time,term,64.5899429832907,ms
99.99th percentile service time,term,108.06106661129445,ms
100th percentile service time,term,113.48277700017206,ms
error rate,term,0.00,%
Min Throughput,phrase,1998.26,ops/s
Mean Throughput,phrase,1999.29,ops/s
Median Throughput,phrase,1999.24,ops/s
Max Throughput,phrase,2000.21,ops/s
50th percentile latency,phrase,3.036726501704834,ms
90th percentile latency,phrase,3.753754499302886,ms
99th percentile latency,phrase,4.505836971093232,ms
99.9th percentile latency,phrase,31.01115983956907,ms
99.99th percentile latency,phrase,49.5725346455017,ms
100th percentile latency,phrase,59.07703600132663,ms
50th percentile service time,phrase,2.252143500300008,ms
90th percentile service time,phrase,2.9815128997142892,ms
99th percentile service time,phrase,3.701515999800907,ms
99.9th percentile service time,phrase,30.197416350445824,ms
99.99th percentile service time,phrase,48.28743162798487,ms
100th percentile service time,phrase,49.85626699999557,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,130.33,ops/s
Mean Throughput,country_agg_uncached,130.89,ops/s
Median Throughput,country_agg_uncached,130.95,ops/s
Max Throughput,country_agg_uncached,131.31,ops/s
50th percentile latency,country_agg_uncached,113189.59515200004,ms
90th percentile latency,country_agg_uncached,131078.11540850127,ms
99th percentile latency,country_agg_uncached,135048.1612723703,ms
99.9th percentile latency,country_agg_uncached,135348.51396606033,ms
100th percentile latency,country_agg_uncached,135407.10432100057,ms
50th percentile service time,country_agg_uncached,471.41670049950335,ms
90th percentile service time,country_agg_uncached,551.1702067000442,ms
99th percentile service time,country_agg_uncached,633.5104865092944,ms
99.9th percentile service time,country_agg_uncached,706.3472542176632,ms
100th percentile service time,country_agg_uncached,763.3891989989934,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,1994.87,ops/s
Mean Throughput,country_agg_cached,1996.64,ops/s
Median Throughput,country_agg_cached,1996.77,ops/s
Max Throughput,country_agg_cached,1998.10,ops/s
50th percentile latency,country_agg_cached,2.6305045021217666,ms
90th percentile latency,country_agg_cached,3.0591909013310215,ms
99th percentile latency,country_agg_cached,3.4645740206906344,ms
99.9th percentile latency,country_agg_cached,26.6249912394524,ms
99.99th percentile latency,country_agg_cached,46.97859108132925,ms
100th percentile latency,country_agg_cached,48.02060300426092,ms
50th percentile service time,country_agg_cached,1.7334385001959163,ms
90th percentile service time,country_agg_cached,2.3609560003023944,ms
99th percentile service time,country_agg_cached,2.763317241151526,ms
99.9th percentile service time,country_agg_cached,26.139775725179973,ms
99.99th percentile service time,country_agg_cached,45.93496007736993,ms
100th percentile service time,country_agg_cached,47.61011700065865,ms
error rate,country_agg_cached,0.00,%
