Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.246933333333335,min
Min cumulative indexing time across primary shards,,2.9958666666666667,min
Median cumulative indexing time across primary shards,,3.1231666666666666,min
Max cumulative indexing time across primary shards,,3.1279,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8941666666666666,min
Cumulative merge count of primary shards,,73,
Min cumulative merge time across primary shards,,1.1958666666666666,min
Median cumulative merge time across primary shards,,1.3074000000000001,min
Max cumulative merge time across primary shards,,1.3908999999999998,min
Cumulative merge throttle time of primary shards,,0.9716666666666666,min
Min cumulative merge throttle time across primary shards,,0.29664999999999997,min
Median cumulative merge throttle time across primary shards,,0.32371666666666665,min
Max cumulative merge throttle time across primary shards,,0.3513,min
Cumulative refresh time of primary shards,,0.6549166666666667,min
Cumulative refresh count of primary shards,,50,
Min cumulative refresh time across primary shards,,0.16351666666666667,min
Median cumulative refresh time across primary shards,,0.21518333333333334,min
Max cumulative refresh time across primary shards,,0.27621666666666667,min
Cumulative flush time of primary shards,,0.49291666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.11138333333333333,min
Median cumulative flush time across primary shards,,0.136,min
Max cumulative flush time across primary shards,,0.24553333333333333,min
Total Young Gen GC time,,230.189,s
Total Young Gen GC count,,5540,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.726873877458274,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.81,ops/s
Mean Throughput,index-stats,1999.74,ops/s
Median Throughput,index-stats,1999.49,ops/s
Max Throughput,index-stats,2001.58,ops/s
50th percentile latency,index-stats,2.071052001156204,ms
90th percentile latency,index-stats,2.896347499336116,ms
99th percentile latency,index-stats,3.5453241103641653,ms
99.9th percentile latency,index-stats,12.459134832883898,ms
99.99th percentile latency,index-stats,65.7118879978588,ms
100th percentile latency,index-stats,73.48955600173213,ms
50th percentile service time,index-stats,1.2359485008346383,ms
90th percentile service time,index-stats,2.0932669987814734,ms
99th percentile service time,index-stats,2.609565550083062,ms
99.9th percentile service time,index-stats,6.806916265050066,ms
99.99th percentile service time,index-stats,64.77880968537964,ms
100th percentile service time,index-stats,72.2453399994265,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1990.43,ops/s
Mean Throughput,node-stats,1997.52,ops/s
Median Throughput,node-stats,1998.21,ops/s
Max Throughput,node-stats,1999.45,ops/s
50th percentile latency,node-stats,3.3971430002566194,ms
90th percentile latency,node-stats,4.443034600080864,ms
99th percentile latency,node-stats,8.21710741212887,ms
99.9th percentile latency,node-stats,74.3762666110343,ms
99.99th percentile latency,node-stats,100.06494186958882,ms
100th percentile latency,node-stats,137.87686000068788,ms
50th percentile service time,node-stats,2.5888030004352913,ms
90th percentile service time,node-stats,3.450124100891116,ms
99th percentile service time,node-stats,4.351182721475201,ms
99.9th percentile service time,node-stats,19.448620460163962,ms
99.99th percentile service time,node-stats,94.15653980834868,ms
100th percentile service time,node-stats,137.19693799976085,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1995.42,ops/s
Mean Throughput,match-all,1997.44,ops/s
Median Throughput,match-all,1997.64,ops/s
Max Throughput,match-all,1998.62,ops/s
50th percentile latency,match-all,2.5945815004888573,ms
