Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.165083333333333,min
Min cumulative indexing time across primary shards,,2.6825666666666668,min
Median cumulative indexing time across primary shards,,2.6992833333333333,min
Max cumulative indexing time across primary shards,,2.7832333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.378516666666667,min
Cumulative merge count of primary shards,,60,
Min cumulative merge time across primary shards,,1.0773166666666667,min
Median cumulative merge time across primary shards,,1.1460833333333333,min
Max cumulative merge time across primary shards,,1.1551166666666668,min
Cumulative merge throttle time of primary shards,,0.9948833333333333,min
Min cumulative merge throttle time across primary shards,,0.29716666666666663,min
Median cumulative merge throttle time across primary shards,,0.3115833333333333,min
Max cumulative merge throttle time across primary shards,,0.38613333333333333,min
Cumulative refresh time of primary shards,,0.6816,min
Cumulative refresh count of primary shards,,46,
Min cumulative refresh time across primary shards,,0.19343333333333332,min
Median cumulative refresh time across primary shards,,0.20851666666666666,min
Max cumulative refresh time across primary shards,,0.27965,min
Cumulative flush time of primary shards,,0.3354,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07551666666666666,min
Median cumulative flush time across primary shards,,0.12831666666666666,min
Max cumulative flush time across primary shards,,0.13156666666666667,min
Total Young Gen GC time,,121.53,s
Total Young Gen GC count,,5241,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.7651756359264255,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.64,ops/s
Mean Throughput,index-stats,1999.55,ops/s
Median Throughput,index-stats,1999.41,ops/s
Max Throughput,index-stats,2000.78,ops/s
