Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.300099999999999,min
Min cumulative indexing time across primary shards,,2.6534,min
Median cumulative indexing time across primary shards,,2.6990666666666665,min
Max cumulative indexing time across primary shards,,2.9476333333333335,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.219883333333334,min
Cumulative merge count of primary shards,,80,
Min cumulative merge time across primary shards,,1.3581333333333334,min
Median cumulative merge time across primary shards,,1.3659666666666666,min
Max cumulative merge time across primary shards,,1.4957833333333332,min
Cumulative merge throttle time of primary shards,,0.9199833333333333,min
Min cumulative merge throttle time across primary shards,,0.19241666666666665,min
Median cumulative merge throttle time across primary shards,,0.33265,min
Max cumulative merge throttle time across primary shards,,0.3949166666666667,min
Cumulative refresh time of primary shards,,0.2886166666666667,min
Cumulative refresh count of primary shards,,66,
Min cumulative refresh time across primary shards,,0.07733333333333332,min
Median cumulative refresh time across primary shards,,0.09041666666666666,min
Max cumulative refresh time across primary shards,,0.12086666666666666,min
Cumulative flush time of primary shards,,0.32903333333333334,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08526666666666666,min
Median cumulative flush time across primary shards,,0.10445,min
Max cumulative flush time across primary shards,,0.13931666666666667,min
Total Young Gen GC time,,103.396,s
Total Young Gen GC count,,5310,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.681139467284083,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,43,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.12,ops/s
Mean Throughput,index-stats,1998.96,ops/s
Median Throughput,index-stats,1999.06,ops/s
Max Throughput,index-stats,1999.41,ops/s
50th percentile latency,index-stats,1.7019155020534527,ms
90th percentile latency,index-stats,2.166602201941714,ms
99th percentile latency,index-stats,2.514240472301027,ms
99.9th percentile latency,index-stats,9.292346519465498,ms
99.99th percentile latency,index-stats,64.5704291336718,ms
100th percentile latency,index-stats,72.77085399982752,ms
50th percentile service time,index-stats,0.9057405004568864,ms
90th percentile service time,index-stats,1.1493910005810903,ms
99th percentile service time,index-stats,1.3822820288078226,ms
99.9th percentile service time,index-stats,3.204341374668861,ms
99.99th percentile service time,index-stats,63.94050508761554,ms
100th percentile service time,index-stats,72.35300799948163,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1990.45,ops/s
Mean Throughput,node-stats,1998.00,ops/s
Median Throughput,node-stats,1998.47,ops/s
Max Throughput,node-stats,2000.95,ops/s
50th percentile latency,node-stats,3.0993995005701436,ms
90th percentile latency,node-stats,4.113673799656681,ms
99th percentile latency,node-stats,6.889676638093105,ms
99.9th percentile latency,node-stats,68.03736753271622,ms
99.99th percentile latency,node-stats,129.64937822812283,ms
100th percentile latency,node-stats,163.27846400054113,ms
50th percentile service time,node-stats,2.3319984993577236,ms
90th percentile service time,node-stats,3.068866099965817,ms
99th percentile service time,node-stats,4.349838210218881,ms
99.9th percentile service time,node-stats,16.78819645764521,ms
99.99th percentile service time,node-stats,97.4420714939992,ms
100th percentile service time,node-stats,162.54843900060223,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1996.90,ops/s
Mean Throughput,match-all,1998.26,ops/s
Median Throughput,match-all,1998.41,ops/s
Max Throughput,match-all,1998.93,ops/s
50th percentile latency,match-all,2.1699305007132352,ms
90th percentile latency,match-all,2.6498038017962244,ms
99th percentile latency,match-all,3.1010639687337984,ms
99.9th percentile latency,match-all,26.97860218969072,ms
99.99th percentile latency,match-all,56.95012417967615,ms
100th percentile latency,match-all,57.73508300080721,ms
50th percentile service time,match-all,1.3782199994238908,ms
90th percentile service time,match-all,1.6778003991930746,ms
99th percentile service time,match-all,1.9934282189751684,ms
99.9th percentile service time,match-all,23.831712972563214,ms
99.99th percentile service time,match-all,56.17194146096418,ms
100th percentile service time,match-all,56.99650499991549,ms
error rate,match-all,0.00,%
Min Throughput,term,1998.86,ops/s
Mean Throughput,term,1999.75,ops/s
Median Throughput,term,1999.48,ops/s
Max Throughput,term,2001.61,ops/s
50th percentile latency,term,2.2293065003395895,ms
90th percentile latency,term,2.703768902210868,ms
99th percentile latency,term,3.442324613115515,ms
99.9th percentile latency,term,34.86319257637502,ms
99.99th percentile latency,term,110.51440887430046,ms
100th percentile latency,term,111.03973799981759,ms
50th percentile service time,term,1.4282805004768306,ms
90th percentile service time,term,1.7213855000591138,ms
99th percentile service time,term,2.0922606306157836,ms
99.9th percentile service time,term,27.44129516851744,ms
