Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.96505,min
Min cumulative indexing time across primary shards,,2.921866666666667,min
Median cumulative indexing time across primary shards,,2.9835833333333333,min
Max cumulative indexing time across primary shards,,3.0596,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7360166666666665,min
Cumulative merge count of primary shards,,67,
Min cumulative merge time across primary shards,,1.1028,min
Median cumulative merge time across primary shards,,1.2885,min
Max cumulative merge time across primary shards,,1.3447166666666668,min
Cumulative merge throttle time of primary shards,,1.1087166666666666,min
Min cumulative merge throttle time across primary shards,,0.2073,min
Median cumulative merge throttle time across primary shards,,0.41705,min
Max cumulative merge throttle time across primary shards,,0.48436666666666667,min
Cumulative refresh time of primary shards,,0.5779833333333334,min
Cumulative refresh count of primary shards,,54,
Min cumulative refresh time across primary shards,,0.16671666666666668,min
Median cumulative refresh time across primary shards,,0.1776,min
Max cumulative refresh time across primary shards,,0.23366666666666666,min
Cumulative flush time of primary shards,,0.3108333333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07980000000000001,min
Median cumulative flush time across primary shards,,0.11125,min
Max cumulative flush time across primary shards,,0.11978333333333334,min
Total Young Gen GC time,,191.522,s
Total Young Gen GC count,,4926,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.758150407113135,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,33,
error rate,index-append,0.00,%
Min Throughput,index-stats,1998.47,ops/s
Mean Throughput,index-stats,1999.33,ops/s
Median Throughput,index-stats,1999.32,ops/s
Max Throughput,index-stats,1999.97,ops/s
50th percentile latency,index-stats,2.1672600005331333,ms
90th percentile latency,index-stats,2.928548300587863,ms
99th percentile latency,index-stats,3.6925899922061953,ms
99.9th percentile latency,index-stats,17.32716878323888,ms
99.99th percentile latency,index-stats,74.3940518187441,ms
100th percentile latency,index-stats,94.28154500164965,ms
50th percentile service time,index-stats,1.3152449992048787,ms
90th percentile service time,index-stats,2.0703742002297076,ms
99th percentile service time,index-stats,2.64908339839167,ms
99.9th percentile service time,index-stats,6.431304638279662,ms
99.99th percentile service time,index-stats,73.5014928577362,ms
100th percentile service time,index-stats,93.02114000092843,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1992.24,ops/s
Mean Throughput,node-stats,1998.56,ops/s
Median Throughput,node-stats,1998.89,ops/s
Max Throughput,node-stats,2001.20,ops/s
50th percentile latency,node-stats,3.4485119995224522,ms
90th percentile latency,node-stats,4.530207799325581,ms
99th percentile latency,node-stats,6.50621991877415,ms
99.9th percentile latency,node-stats,49.125907411503036,ms
99.99th percentile latency,node-stats,89.79671413452822,ms
100th percentile latency,node-stats,109.86283000056574,ms
50th percentile service time,node-stats,2.639526500388456,ms
90th percentile service time,node-stats,3.540458099632815,ms
99th percentile service time,node-stats,4.522835699663122,ms
99.9th percentile service time,node-stats,13.545019569308415,ms
99.99th percentile service time,node-stats,88.88407304684294,ms
100th percentile service time,node-stats,109.16246899978432,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,1996.76,ops/s
Mean Throughput,match-all,1998.19,ops/s
Median Throughput,match-all,1998.34,ops/s
Max Throughput,match-all,1998.90,ops/s
50th percentile latency,match-all,2.5969400003305054,ms
90th percentile latency,match-all,3.3255292999456287,ms
99th percentile latency,match-all,3.922731101738465,ms
99.9th percentile latency,match-all,35.58283835474394,ms
99.99th percentile latency,match-all,96.41701027431881,ms
100th percentile latency,match-all,97.2957630019664,ms
50th percentile service time,match-all,1.7120429993155994,ms
90th percentile service time,match-all,2.5485579995802254,ms
99th percentile service time,match-all,3.0908597894085714,ms
99.9th percentile service time,match-all,25.984949441445583,ms
99.99th percentile service time,match-all,95.39915057102297,ms
100th percentile service time,match-all,96.27820099922246,ms
error rate,match-all,0.00,%
Min Throughput,term,1987.34,ops/s
Mean Throughput,term,1992.67,ops/s
Median Throughput,term,1993.34,ops/s
Max Throughput,term,1995.42,ops/s
50th percentile latency,term,3.013112002008711,ms
90th percentile latency,term,3.9405899993653293,ms
99th percentile latency,term,5.1010133411728065,ms
99.9th percentile latency,term,98.48310863739738,ms
99.99th percentile latency,term,193.26531462526293,ms
100th percentile latency,term,207.50637500168523,ms
50th percentile service time,term,2.2018999998181243,ms
90th percentile service time,term,3.0588646994146984,ms
99th percentile service time,term,3.8606900093509466,ms
99.9th percentile service time,term,41.60496247925471,ms
99.99th percentile service time,term,176.95011570809956,ms
100th percentile service time,term,206.69150100002298,ms
error rate,term,0.00,%
Min Throughput,phrase,1998.40,ops/s
Mean Throughput,phrase,1999.44,ops/s
Median Throughput,phrase,1999.28,ops/s
Max Throughput,phrase,2000.83,ops/s
50th percentile latency,phrase,2.6528530006544315,ms
90th percentile latency,phrase,3.477017801378679,ms
99th percentile latency,phrase,7.183676719250804,ms
99.9th percentile latency,phrase,28.848539131327996,ms
99.99th percentile latency,phrase,46.179831046497746,ms
100th percentile latency,phrase,53.44663300093089,ms
50th percentile service time,phrase,1.7794804998629843,ms
90th percentile service time,phrase,2.6433016015289468,ms
99th percentile service time,phrase,3.563400739258215,ms
99.9th percentile service time,phrase,27.798348478098003,ms
99.99th percentile service time,phrase,45.643415742031124,ms
100th percentile service time,phrase,53.09782699987409,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,136.05,ops/s
Mean Throughput,country_agg_uncached,136.78,ops/s
Median Throughput,country_agg_uncached,136.84,ops/s
Max Throughput,country_agg_uncached,137.27,ops/s
50th percentile latency,country_agg_uncached,107673.60527800064,ms
90th percentile latency,country_agg_uncached,124725.18410160101,ms
99th percentile latency,country_agg_uncached,128430.98180002025,ms
99.9th percentile latency,country_agg_uncached,128784.35400098923,ms
100th percentile latency,country_agg_uncached,128885.03748200128,ms
50th percentile service time,country_agg_uncached,440.5981835006969,ms
90th percentile service time,country_agg_uncached,550.2120184992236,ms
99th percentile service time,country_agg_uncached,638.5966715708311,ms
99.9th percentile service time,country_agg_uncached,689.7161880999033,ms
100th percentile service time,country_agg_uncached,801.6815800001496,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,1994.29,ops/s
Mean Throughput,country_agg_cached,1996.05,ops/s
Median Throughput,country_agg_cached,1996.20,ops/s
Max Throughput,country_agg_cached,1997.45,ops/s
50th percentile latency,country_agg_cached,3.040029499970842,ms
90th percentile latency,country_agg_cached,4.192345003866649,ms
99th percentile latency,country_agg_cached,9.69247939996422,ms
99.9th percentile latency,country_agg_cached,32.059788401452664,ms
99.99th percentile latency,country_agg_cached,105.92159947363193,ms
100th percentile latency,country_agg_cached,116.88532600419421,ms
50th percentile service time,country_agg_cached,1.8288509991180035,ms
90th percentile service time,country_agg_cached,2.6938871013044263,ms
99th percentile service time,country_agg_cached,6.355913959996545,ms
99.9th percentile service time,country_agg_cached,17.169188729705656,ms
99.99th percentile service time,country_agg_cached,105.36054655025163,ms
100th percentile service time,country_agg_cached,115.72931299997435,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,1738.25,pages/s
Mean Throughput,scroll,1769.81,pages/s
Median Throughput,scroll,1764.38,pages/s
Max Throughput,scroll,1825.22,pages/s
50th percentile latency,scroll,218330.5190755009,ms
90th percentile latency,scroll,246385.25593419984,ms
99th percentile latency,scroll,251999.7660878602,ms
99.9th percentile latency,scroll,252997.41337322516,ms
100th percentile latency,scroll,253593.76686299947,ms
50th percentile service time,scroll,776.6643574996124,ms
90th percentile service time,scroll,900.2544278986534,ms
99th percentile service time,scroll,1100.8277201605963,ms
99.9th percentile service time,scroll,1207.8226379574746,ms
100th percentile service time,scroll,1309.0179829996487,ms
error rate,scroll,0.00,%
Min Throughput,expression,89.68,ops/s
Mean Throughput,expression,90.02,ops/s
Median Throughput,expression,90.03,ops/s
Max Throughput,expression,90.11,ops/s
50th percentile latency,expression,169331.26665950022,ms
90th percentile latency,expression,196392.8374641002,ms
99th percentile latency,expression,202248.59218063965,ms
99.9th percentile latency,expression,203134.91636289196,ms
100th percentile latency,expression,203884.5642190008,ms
50th percentile service time,expression,724.8153970003841,ms
90th percentile service time,expression,818.7360594998609,ms
99th percentile service time,expression,898.5879482890596,ms
99.9th percentile service time,expression,999.665420191895,ms
100th percentile service time,expression,1080.120351000005,ms
error rate,expression,0.00,%
Min Throughput,painless_static,71.54,ops/s
Mean Throughput,painless_static,71.66,ops/s
Median Throughput,painless_static,71.67,ops/s
Max Throughput,painless_static,71.74,ops/s
50th percentile latency,painless_static,215247.53891149978,ms
90th percentile latency,painless_static,249527.4866527998,ms
99th percentile latency,painless_static,256987.9518044904,ms
99.9th percentile latency,painless_static,258033.74805179914,ms
100th percentile latency,painless_static,258428.85450200085,ms
50th percentile service time,painless_static,896.7829019993587,ms
90th percentile service time,painless_static,1037.2314887014,ms
99th percentile service time,painless_static,1165.5574619302208,ms
99.9th percentile service time,painless_static,1259.0919410687059,ms
100th percentile service time,painless_static,1320.713381999667,ms
error rate,painless_static,0.00,%
Min Throughput,painless_dynamic,70.72,ops/s
Mean Throughput,painless_dynamic,70.81,ops/s
Median Throughput,painless_dynamic,70.82,ops/s
Max Throughput,painless_dynamic,70.87,ops/s
