Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.04235,min
Min cumulative indexing time across primary shards,,2.7441666666666666,min
Median cumulative indexing time across primary shards,,3.07915,min
Max cumulative indexing time across primary shards,,3.2190333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.616083333333333,min
Cumulative merge count of primary shards,,73,
Min cumulative merge time across primary shards,,1.0670333333333335,min
Median cumulative merge time across primary shards,,1.4465666666666666,min
Max cumulative merge time across primary shards,,2.1024833333333333,min
Cumulative merge throttle time of primary shards,,1.7819,min
Min cumulative merge throttle time across primary shards,,0.23038333333333333,min
Median cumulative merge throttle time across primary shards,,0.4346166666666667,min
Max cumulative merge throttle time across primary shards,,1.1169,min
Cumulative refresh time of primary shards,,0.6983833333333334,min
Cumulative refresh count of primary shards,,59,
Min cumulative refresh time across primary shards,,0.175,min
Median cumulative refresh time across primary shards,,0.24000000000000002,min
Max cumulative refresh time across primary shards,,0.2833833333333333,min
Cumulative flush time of primary shards,,0.31755,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07719999999999999,min
Median cumulative flush time across primary shards,,0.10703333333333333,min
Max cumulative flush time across primary shards,,0.13331666666666667,min
Total Young Gen GC time,,180.341,s
Total Young Gen GC count,,4863,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.726827651262283,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,28,
error rate,index-append,0.00,%
Min Throughput,index-stats,1999.11,ops/s
Mean Throughput,index-stats,1999.73,ops/s
Median Throughput,index-stats,1999.61,ops/s
Max Throughput,index-stats,2001.70,ops/s
50th percentile latency,index-stats,2.1853670023119776,ms
90th percentile latency,index-stats,3.0288552994534257,ms
99th percentile latency,index-stats,8.340203171901612,ms
99.9th percentile latency,index-stats,156.56431265222417,ms
99.99th percentile latency,index-stats,178.927444819751,ms
100th percentile latency,index-stats,180.80777400064107,ms
50th percentile service time,index-stats,1.3534470008380595,ms
90th percentile service time,index-stats,2.2071591001804336,ms
99th percentile service time,index-stats,2.810455208509669,ms
99.9th percentile service time,index-stats,10.098694055983529,ms
99.99th percentile service time,index-stats,65.04015825711822,ms
100th percentile service time,index-stats,73.2197620000079,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,1991.93,ops/s
Mean Throughput,node-stats,1998.26,ops/s
Median Throughput,node-stats,1998.66,ops/s
Max Throughput,node-stats,2001.28,ops/s
