Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.133216666666668,min
Min cumulative indexing time across primary shards,,2.8574166666666665,min
Median cumulative indexing time across primary shards,,3.0726999999999998,min
Max cumulative indexing time across primary shards,,3.2031,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.4112666666666667,min
Cumulative merge count of primary shards,,61,
Min cumulative merge time across primary shards,,1.0448833333333334,min
Median cumulative merge time across primary shards,,1.1535499999999999,min
Max cumulative merge time across primary shards,,1.2128333333333332,min
Cumulative merge throttle time of primary shards,,1.20725,min
Min cumulative merge throttle time across primary shards,,0.33416666666666667,min
Median cumulative merge throttle time across primary shards,,0.37248333333333333,min
Max cumulative merge throttle time across primary shards,,0.5006,min
Cumulative refresh time of primary shards,,0.79235,min
Cumulative refresh count of primary shards,,46,
Min cumulative refresh time across primary shards,,0.25756666666666667,min
Median cumulative refresh time across primary shards,,0.2646,min
Max cumulative refresh time across primary shards,,0.27018333333333333,min
Cumulative flush time of primary shards,,0.23726666666666668,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07841666666666666,min
Median cumulative flush time across primary shards,,0.07921666666666667,min
Max cumulative flush time across primary shards,,0.07963333333333332,min
Total Young Gen GC time,,228.725,s
Total Young Gen GC count,,5593,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.75319379940629,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,40,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.88,ops/s
Mean Throughput,index-stats,499.94,ops/s
Median Throughput,index-stats,499.94,ops/s
Max Throughput,index-stats,500.40,ops/s
50th percentile latency,index-stats,2.857692499901532,ms
90th percentile latency,index-stats,3.6254229994938214,ms
99th percentile latency,index-stats,4.082618314769207,ms
99.9th percentile latency,index-stats,4.421305618624056,ms
99.99th percentile latency,index-stats,5.320176875308306,ms
100th percentile latency,index-stats,59.10211400487242,ms
50th percentile service time,index-stats,1.925370999970255,ms
90th percentile service time,index-stats,2.683136100131378,ms
99th percentile service time,index-stats,3.204276370356638,ms
99.9th percentile service time,index-stats,3.507120510005285,ms
99.99th percentile service time,index-stats,4.093066343398762,ms
100th percentile service time,index-stats,58.46960000008039,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.59,ops/s
Mean Throughput,node-stats,499.67,ops/s
Median Throughput,node-stats,499.77,ops/s
Max Throughput,node-stats,500.03,ops/s
50th percentile latency,node-stats,4.794749499978934,ms
90th percentile latency,node-stats,6.3895244998093395,ms
99th percentile latency,node-stats,8.317777180259327,ms
99.9th percentile latency,node-stats,9.422354132022535,ms
99.99th percentile latency,node-stats,69.41322574690318,ms
100th percentile latency,node-stats,84.15271599960761,ms
50th percentile service time,node-stats,3.8898640000297746,ms
90th percentile service time,node-stats,5.360545000075945,ms
99th percentile service time,node-stats,7.379071369864506,ms
99.9th percentile service time,node-stats,8.431439892883734,ms
99.99th percentile service time,node-stats,68.0084438222616,ms
100th percentile service time,node-stats,82.35631599973203,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.34,ops/s
Mean Throughput,match-all,499.66,ops/s
Median Throughput,match-all,499.68,ops/s
Max Throughput,match-all,500.12,ops/s
50th percentile latency,match-all,3.4341585014772136,ms
90th percentile latency,match-all,4.015259702282492,ms
99th percentile latency,match-all,4.508230980309237,ms
99.9th percentile latency,match-all,27.56500506479385,ms
99.99th percentile latency,match-all,54.67968064253777,ms
100th percentile latency,match-all,99.01992499999324,ms
50th percentile service time,match-all,2.4529074994461553,ms
90th percentile service time,match-all,3.2059587007097434,ms
99th percentile service time,match-all,3.7594197003636527,ms
99.9th percentile service time,match-all,26.666209557342167,ms
99.99th percentile service time,match-all,53.80023575019608,ms
100th percentile service time,match-all,97.91908700026397,ms
error rate,match-all,0.00,%
Min Throughput,term,499.68,ops/s
Mean Throughput,term,499.82,ops/s
Median Throughput,term,499.84,ops/s
Max Throughput,term,499.89,ops/s
50th percentile latency,term,3.537826499723451,ms
90th percentile latency,term,4.134190304648655,ms
99th percentile latency,term,4.750181005219933,ms
99.9th percentile latency,term,43.65024967355061,ms
99.99th percentile latency,term,73.80634316311236,ms
100th percentile latency,term,78.65949400456884,ms
50th percentile service time,term,2.5995820005846326,ms
90th percentile service time,term,3.339378799955739,ms
99th percentile service time,term,3.930997000252319,ms
99.9th percentile service time,term,42.33332391645404,ms
99.99th percentile service time,term,72.83000760402044,ms
100th percentile service time,term,77.73079100024916,ms
error rate,term,0.00,%
Min Throughput,phrase,499.72,ops/s
Mean Throughput,phrase,499.86,ops/s
Median Throughput,phrase,499.86,ops/s
Max Throughput,phrase,500.12,ops/s
50th percentile latency,phrase,3.544739004155417,ms
90th percentile latency,phrase,4.377806799766404,ms
99th percentile latency,phrase,5.1403820593714045,ms
99.9th percentile latency,phrase,29.589893103760197,ms
99.99th percentile latency,phrase,61.42732144220874,ms
