Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.2256,min
Min cumulative indexing time across primary shards,,2.6626499999999997,min
Median cumulative indexing time across primary shards,,2.70635,min
Max cumulative indexing time across primary shards,,2.8566,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.6362,min
Cumulative merge count of primary shards,,74,
Min cumulative merge time across primary shards,,1.0545833333333332,min
Median cumulative merge time across primary shards,,1.28345,min
Max cumulative merge time across primary shards,,1.2981666666666667,min
Cumulative merge throttle time of primary shards,,0.9796333333333334,min
Min cumulative merge throttle time across primary shards,,0.26999999999999996,min
Median cumulative merge throttle time across primary shards,,0.35281666666666667,min
Max cumulative merge throttle time across primary shards,,0.35681666666666667,min
Cumulative refresh time of primary shards,,0.5145000000000001,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.09715,min
Median cumulative refresh time across primary shards,,0.19935,min
Max cumulative refresh time across primary shards,,0.218,min
Cumulative flush time of primary shards,,0.29336666666666666,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07853333333333333,min
Median cumulative flush time across primary shards,,0.07955,min
Max cumulative flush time across primary shards,,0.13528333333333334,min
Total Young Gen GC time,,139.26,s
Total Young Gen GC count,,5919,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.692733354866505,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,41,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.82,ops/s
Mean Throughput,index-stats,499.92,ops/s
Median Throughput,index-stats,499.91,ops/s
Max Throughput,index-stats,500.56,ops/s
50th percentile latency,index-stats,1.7238055013422127,ms
90th percentile latency,index-stats,2.189695102265432,ms
99th percentile latency,index-stats,2.5386838998360877,ms
99.9th percentile latency,index-stats,3.1889082561422524,ms
99.99th percentile latency,index-stats,4.618961182505579,ms
100th percentile latency,index-stats,60.32739500324169,ms
50th percentile service time,index-stats,0.8537164999324887,ms
90th percentile service time,index-stats,1.111515100046745,ms
99th percentile service time,index-stats,1.3442783700315886,ms
99.9th percentile service time,index-stats,1.5193674899114797,ms
99.99th percentile service time,index-stats,3.4809386647796483,ms
100th percentile service time,index-stats,58.77896299989516,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.46,ops/s
Mean Throughput,node-stats,499.62,ops/s
Median Throughput,node-stats,499.74,ops/s
Max Throughput,node-stats,499.86,ops/s
50th percentile latency,node-stats,3.41746499987039,ms
90th percentile latency,node-stats,4.980679699860957,ms
99th percentile latency,node-stats,6.776501809983985,ms
99.9th percentile latency,node-stats,7.570196989981707,ms
99.99th percentile latency,node-stats,70.82215055329341,ms
100th percentile latency,node-stats,73.09784500012029,ms
50th percentile service time,node-stats,2.537378999932116,ms
90th percentile service time,node-stats,3.9984427000263167,ms
99th percentile service time,node-stats,5.745402419861422,ms
99.9th percentile service time,node-stats,6.634779760065858,ms
99.99th percentile service time,node-stats,69.9356476466059,ms
100th percentile service time,node-stats,72.20154600008755,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.12,ops/s
