Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.211466666666666,min
Min cumulative indexing time across primary shards,,2.6439333333333335,min
Median cumulative indexing time across primary shards,,2.6541,min
Max cumulative indexing time across primary shards,,2.9134333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.150366666666667,min
Cumulative merge count of primary shards,,74,
Min cumulative merge time across primary shards,,1.04605,min
Median cumulative merge time across primary shards,,1.5032666666666665,min
Max cumulative merge time across primary shards,,1.60105,min
Cumulative merge throttle time of primary shards,,1.2779500000000001,min
Min cumulative merge throttle time across primary shards,,0.2342,min
Median cumulative merge throttle time across primary shards,,0.5022,min
Max cumulative merge throttle time across primary shards,,0.5415500000000001,min
Cumulative refresh time of primary shards,,0.425,min
Cumulative refresh count of primary shards,,55,
Min cumulative refresh time across primary shards,,0.08283333333333333,min
Median cumulative refresh time across primary shards,,0.14026666666666668,min
Max cumulative refresh time across primary shards,,0.20190000000000002,min
Cumulative flush time of primary shards,,0.3328833333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08636666666666667,min
Median cumulative flush time across primary shards,,0.09956666666666666,min
Max cumulative flush time across primary shards,,0.14695,min
Total Young Gen GC time,,142.058,s
Total Young Gen GC count,,6077,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.6569035314023495,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,40,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.84,ops/s
Mean Throughput,index-stats,499.93,ops/s
Median Throughput,index-stats,499.92,ops/s
Max Throughput,index-stats,500.21,ops/s
50th percentile latency,index-stats,1.938288499900409,ms
90th percentile latency,index-stats,2.4172131999876,ms
99th percentile latency,index-stats,2.7508950000446935,ms
99.9th percentile latency,index-stats,3.5080940421928672,ms
99.99th percentile latency,index-stats,5.644952824383971,ms
100th percentile latency,index-stats,6.877341005520066,ms
50th percentile service time,index-stats,0.9206894999351789,ms
90th percentile service time,index-stats,1.1730963000445627,ms
99th percentile service time,index-stats,1.410843179803578,ms
99.9th percentile service time,index-stats,1.5966605519047357,ms
99.99th percentile service time,index-stats,3.2046756380650363,ms
100th percentile service time,index-stats,5.89514200009944,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,497.88,ops/s
Mean Throughput,node-stats,499.48,ops/s
Median Throughput,node-stats,499.64,ops/s
Max Throughput,node-stats,499.80,ops/s
50th percentile latency,node-stats,3.9815814999428767,ms
90th percentile latency,node-stats,6.162015100107965,ms
99th percentile latency,node-stats,7.482954960044029,ms
99.9th percentile latency,node-stats,8.656452959963046,ms
99.99th percentile latency,node-stats,76.45128733368678,ms
100th percentile latency,node-stats,109.1207710001072,ms
50th percentile service time,node-stats,2.9044909999811352,ms
90th percentile service time,node-stats,5.118313300158661,ms
99th percentile service time,node-stats,6.328969430039709,ms
99.9th percentile service time,node-stats,7.432188391076403,ms
99.99th percentile service time,node-stats,74.95203541104314,ms
100th percentile service time,node-stats,107.5826579999557,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.23,ops/s
Mean Throughput,match-all,499.61,ops/s
Median Throughput,match-all,499.63,ops/s
Max Throughput,match-all,500.13,ops/s
50th percentile latency,match-all,2.5435204998984773,ms
90th percentile latency,match-all,3.0168426009367977,ms
99th percentile latency,match-all,3.401423101386172,ms
99.9th percentile latency,match-all,25.14198830707432,ms
99.99th percentile latency,match-all,57.54686445124422,ms
100th percentile latency,match-all,59.275397005876584,ms
50th percentile service time,match-all,1.4493969999875844,ms
90th percentile service time,match-all,1.7703897998671891,ms
99th percentile service time,match-all,2.0397572299316384,ms
99.9th percentile service time,match-all,24.11627605803853,ms
99.99th percentile service time,match-all,56.53991236918783,ms
100th percentile service time,match-all,57.97417300004781,ms
error rate,match-all,0.00,%
Min Throughput,term,499.81,ops/s
Mean Throughput,term,499.89,ops/s
Median Throughput,term,499.90,ops/s
Max Throughput,term,499.94,ops/s
50th percentile latency,term,2.572888503664217,ms
90th percentile latency,term,3.0375477002053226,ms
99th percentile latency,term,3.3769712803405127,ms
99.9th percentile latency,term,18.847381983476186,ms
99.99th percentile latency,term,46.56860933174157,ms
100th percentile latency,term,87.60465300520082,ms
50th percentile service time,term,1.4869009999074478,ms
90th percentile service time,term,1.8180193999796757,ms
99th percentile service time,term,2.0988299998407465,ms
99.9th percentile service time,term,17.879628982750727,ms
99.99th percentile service time,term,45.41883816816393,ms
100th percentile service time,term,86.20314700010567,ms
error rate,term,0.00,%
Min Throughput,phrase,499.56,ops/s
Mean Throughput,phrase,499.76,ops/s
Median Throughput,phrase,499.78,ops/s
Max Throughput,phrase,499.85,ops/s
50th percentile latency,phrase,2.761092001492216,ms
90th percentile latency,phrase,3.2386816016241937,ms
99th percentile latency,phrase,3.6700333628732555,ms
99.9th percentile latency,phrase,24.952968875550642,ms
99.99th percentile latency,phrase,39.91223718418333,ms
100th percentile latency,phrase,46.147464999648946,ms
50th percentile service time,phrase,1.7094329998599278,ms
90th percentile service time,phrase,2.051061199790638,ms
99th percentile service time,phrase,2.381897590366863,ms
99.9th percentile service time,phrase,24.011924674942076,ms
99.99th percentile service time,phrase,39.01986357697585,ms
100th percentile service time,phrase,45.50837499982663,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,159.68,ops/s
Mean Throughput,country_agg_uncached,160.40,ops/s
Median Throughput,country_agg_uncached,160.44,ops/s
Max Throughput,country_agg_uncached,160.92,ops/s
50th percentile latency,country_agg_uncached,67057.39667950002,ms
90th percentile latency,country_agg_uncached,77645.0997389003,ms
99th percentile latency,country_agg_uncached,80078.95728163967,ms
99.9th percentile latency,country_agg_uncached,80529.49398717502,ms
100th percentile latency,country_agg_uncached,80608.85798399977,ms
50th percentile service time,country_agg_uncached,376.4639429998624,ms
90th percentile service time,country_agg_uncached,499.1016573998423,ms
99th percentile service time,country_agg_uncached,571.5662573400008,ms
99.9th percentile service time,country_agg_uncached,629.4233914879794,ms
100th percentile service time,country_agg_uncached,655.5927039999006,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,499.47,ops/s
Mean Throughput,country_agg_cached,499.63,ops/s
Median Throughput,country_agg_cached,499.64,ops/s
Max Throughput,country_agg_cached,499.96,ops/s
50th percentile latency,country_agg_cached,2.254710011129646,ms
90th percentile latency,country_agg_cached,2.6990269067482586,ms
99th percentile latency,country_agg_cached,3.007634831833457,ms
99.9th percentile latency,country_agg_cached,3.985730776031694,ms
99.99th percentile latency,country_agg_cached,35.971522872385314,ms
100th percentile latency,country_agg_cached,37.1913700123514,ms
50th percentile service time,country_agg_cached,1.1950829998568224,ms
90th percentile service time,country_agg_cached,1.438620000044466,ms
99th percentile service time,country_agg_cached,1.6423999300468497,ms
99.9th percentile service time,country_agg_cached,1.857636968316467,ms
99.99th percentile service time,country_agg_cached,34.837383734988705,ms
100th percentile service time,country_agg_cached,36.02817999990293,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,2219.23,pages/s
Mean Throughput,scroll,2222.23,pages/s
Median Throughput,scroll,2222.23,pages/s
Max Throughput,scroll,2224.63,pages/s
50th percentile latency,scroll,147883.3931155,ms
90th percentile latency,scroll,171577.83165689997,ms
99th percentile latency,scroll,176562.11015358014,ms
99.9th percentile latency,scroll,177185.97223945023,ms
100th percentile latency,scroll,177295.61997400015,ms
