Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.150333333333332,min
Min cumulative indexing time across primary shards,,2.5814999999999997,min
Median cumulative indexing time across primary shards,,2.7391,min
Max cumulative indexing time across primary shards,,2.829733333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.2878666666666665,min
Cumulative merge count of primary shards,,59,
Min cumulative merge time across primary shards,,0.82335,min
Median cumulative merge time across primary shards,,1.1840000000000002,min
Max cumulative merge time across primary shards,,1.2805166666666667,min
Cumulative merge throttle time of primary shards,,0.7545666666666667,min
Min cumulative merge throttle time across primary shards,,0.17850000000000002,min
Median cumulative merge throttle time across primary shards,,0.28006666666666663,min
Max cumulative merge throttle time across primary shards,,0.29600000000000004,min
Cumulative refresh time of primary shards,,0.47855000000000003,min
Cumulative refresh count of primary shards,,51,
Min cumulative refresh time across primary shards,,0.15151666666666666,min
Median cumulative refresh time across primary shards,,0.16071666666666667,min
Max cumulative refresh time across primary shards,,0.16631666666666664,min
Cumulative flush time of primary shards,,0.5171333333333333,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.13993333333333335,min
Median cumulative flush time across primary shards,,0.18333333333333332,min
Max cumulative flush time across primary shards,,0.19386666666666666,min
Total Young Gen GC time,,114.785,s
Total Young Gen GC count,,5513,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.66603974532336,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,36,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.86,ops/s
Mean Throughput,index-stats,499.94,ops/s
Median Throughput,index-stats,499.93,ops/s
Max Throughput,index-stats,500.39,ops/s
50th percentile latency,index-stats,1.7683414999964953,ms
90th percentile latency,index-stats,2.2372586029632657,ms
99th percentile latency,index-stats,2.5823959522540467,ms
99.9th percentile latency,index-stats,4.002783390844425,ms
99.99th percentile latency,index-stats,6.928046094189005,ms
100th percentile latency,index-stats,8.568109999941953,ms
50th percentile service time,index-stats,0.8948980000695883,ms
90th percentile service time,index-stats,1.15366669992909,ms
99th percentile service time,index-stats,1.390046550106945,ms
99.9th percentile service time,index-stats,1.6032425708842826,ms
99.99th percentile service time,index-stats,4.553774031325356,ms
100th percentile service time,index-stats,7.134365999945658,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.84,ops/s
Mean Throughput,node-stats,499.71,ops/s
Median Throughput,node-stats,499.80,ops/s
Max Throughput,node-stats,499.89,ops/s
50th percentile latency,node-stats,3.690272999961053,ms
90th percentile latency,node-stats,5.5294301001367785,ms
99th percentile latency,node-stats,7.445070649923765,ms
99.9th percentile latency,node-stats,26.493942360078396,ms
99.99th percentile latency,node-stats,69.30675899279711,ms
100th percentile latency,node-stats,87.98086199999489,ms
50th percentile service time,node-stats,2.7543299999024384,ms
90th percentile service time,node-stats,4.504417199996169,ms
99th percentile service time,node-stats,6.314535840053851,ms
99.9th percentile service time,node-stats,25.452917990033914,ms
99.99th percentile service time,node-stats,68.33740836823718,ms
100th percentile service time,node-stats,87.27077300000019,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.34,ops/s
Mean Throughput,match-all,499.66,ops/s
