Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.075866666666666,min
Min cumulative indexing time across primary shards,,2.6774666666666667,min
Median cumulative indexing time across primary shards,,2.6870166666666666,min
Max cumulative indexing time across primary shards,,2.711383333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.117900000000001,min
Cumulative merge count of primary shards,,77,
Min cumulative merge time across primary shards,,1.2461666666666666,min
Median cumulative merge time across primary shards,,1.2751666666666668,min
Max cumulative merge time across primary shards,,1.5965666666666667,min
Cumulative merge throttle time of primary shards,,2.1091333333333333,min
Min cumulative merge throttle time across primary shards,,0.5627,min
Median cumulative merge throttle time across primary shards,,0.5672333333333334,min
Max cumulative merge throttle time across primary shards,,0.9792000000000001,min
Cumulative refresh time of primary shards,,0.3297166666666667,min
Cumulative refresh count of primary shards,,59,
Min cumulative refresh time across primary shards,,0.057833333333333334,min
Median cumulative refresh time across primary shards,,0.08951666666666667,min
Max cumulative refresh time across primary shards,,0.18236666666666668,min
Cumulative flush time of primary shards,,0.4359166666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09511666666666667,min
Median cumulative flush time across primary shards,,0.15688333333333335,min
Max cumulative flush time across primary shards,,0.18391666666666667,min
Total Young Gen GC time,,138.976,s
Total Young Gen GC count,,5287,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.7816838612779975,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,40,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.92,ops/s
Mean Throughput,index-stats,499.98,ops/s
Median Throughput,index-stats,499.96,ops/s
Max Throughput,index-stats,500.50,ops/s
50th percentile latency,index-stats,1.7623600033402909,ms
90th percentile latency,index-stats,2.22813470179517,ms
99th percentile latency,index-stats,2.590558650103959,ms
99.9th percentile latency,index-stats,6.600079391998341,ms
99.99th percentile latency,index-stats,37.60481947148078,ms
100th percentile latency,index-stats,38.045404999820676,ms
50th percentile service time,index-stats,0.901093500033312,ms
90th percentile service time,index-stats,1.2100080998834528,ms
99th percentile service time,index-stats,1.4787472399984842,ms
99.9th percentile service time,index-stats,6.06703997678733,ms
99.99th percentile service time,index-stats,36.4516456715331,ms
100th percentile service time,index-stats,36.9087879998915,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.93,ops/s
Mean Throughput,node-stats,499.81,ops/s
Median Throughput,node-stats,499.84,ops/s
Max Throughput,node-stats,501.72,ops/s
50th percentile latency,node-stats,2.8092630000173813,ms
90th percentile latency,node-stats,3.7791406002043004,ms
99th percentile latency,node-stats,5.372334570122355,ms
99.9th percentile latency,node-stats,14.20754690621254,ms
99.99th percentile latency,node-stats,63.39283275525728,ms
100th percentile latency,node-stats,67.95811200004209,ms
50th percentile service time,node-stats,2.0006539999712913,ms
90th percentile service time,node-stats,2.6877707999801714,ms
99th percentile service time,node-stats,4.333087070097008,ms
99.9th percentile service time,node-stats,5.776166329910933,ms
99.99th percentile service time,node-stats,62.13291595874872,ms
100th percentile service time,node-stats,67.06118500005687,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.33,ops/s
Mean Throughput,match-all,499.64,ops/s
Median Throughput,match-all,499.67,ops/s
Max Throughput,match-all,499.85,ops/s
50th percentile latency,match-all,2.1110310017320444,ms
90th percentile latency,match-all,2.578954204909678,ms
99th percentile latency,match-all,3.006416670129966,ms
99.9th percentile latency,match-all,24.95000747317577,ms
99.99th percentile latency,match-all,42.42844334574655,ms
100th percentile latency,match-all,60.89610399999401,ms
50th percentile service time,match-all,1.2468640001088716,ms
90th percentile service time,match-all,1.5671575999704146,ms
99th percentile service time,match-all,1.8591565099313816,ms
99.9th percentile service time,match-all,23.940477405065277,ms
99.99th percentile service time,match-all,41.580768065567504,ms
100th percentile service time,match-all,60.14649999997346,ms
error rate,match-all,0.00,%
Min Throughput,term,499.80,ops/s
Mean Throughput,term,499.89,ops/s
Median Throughput,term,499.90,ops/s
Max Throughput,term,499.93,ops/s
50th percentile latency,term,2.3566030022266204,ms
90th percentile latency,term,2.8283746000397514,ms
99th percentile latency,term,3.209679283036167,ms
99.9th percentile latency,term,41.47565185895986,ms
99.99th percentile latency,term,50.741562543560526,ms
100th percentile latency,term,82.462317999898,ms
50th percentile service time,term,1.3573080000242044,ms
90th percentile service time,term,1.7262036999227348,ms
99th percentile service time,term,2.061077729781573,ms
99.9th percentile service time,term,40.44529056411299,ms
99.99th percentile service time,term,49.526454779688095,ms
100th percentile service time,term,81.83057299993379,ms
error rate,term,0.00,%
Min Throughput,phrase,499.74,ops/s
Mean Throughput,phrase,499.88,ops/s
Median Throughput,phrase,499.87,ops/s
Max Throughput,phrase,500.59,ops/s
50th percentile latency,phrase,2.417995002133466,ms
90th percentile latency,phrase,2.8893951998270495,ms
99th percentile latency,phrase,3.2981037601075553,ms
99.9th percentile latency,phrase,30.235206044685768,ms
99.99th percentile latency,phrase,66.80342633343103,ms
100th percentile latency,phrase,68.30988400679416,ms
50th percentile service time,phrase,1.4199145000475255,ms
90th percentile service time,phrase,1.755810400345581,ms
99th percentile service time,phrase,2.0841833801387124,ms
99.9th percentile service time,phrase,29.125533685694617,ms
99.99th percentile service time,phrase,65.64892246300501,ms
100th percentile service time,phrase,67.17430300022897,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,252.87,ops/s
Mean Throughput,country_agg_uncached,256.67,ops/s
Median Throughput,country_agg_uncached,256.91,ops/s
Max Throughput,country_agg_uncached,259.19,ops/s
50th percentile latency,country_agg_uncached,27815.680177999864,ms
90th percentile latency,country_agg_uncached,32796.45574199999,ms
99th percentile latency,country_agg_uncached,34340.52836903025,ms
99.9th percentile latency,country_agg_uncached,34649.574677296034,ms
100th percentile latency,country_agg_uncached,34719.78566799998,ms
50th percentile service time,country_agg_uncached,225.93613200001528,ms
90th percentile service time,country_agg_uncached,275.27930230016864,ms
99th percentile service time,country_agg_uncached,341.37552223029627,ms
99.9th percentile service time,country_agg_uncached,421.7248485749809,ms
100th percentile service time,country_agg_uncached,472.9491670000243,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,499.74,ops/s
Mean Throughput,country_agg_cached,499.82,ops/s
Median Throughput,country_agg_cached,499.83,ops/s
Max Throughput,country_agg_cached,499.87,ops/s
50th percentile latency,country_agg_cached,2.214046009385129,ms
90th percentile latency,country_agg_cached,2.599920203920192,ms
99th percentile latency,country_agg_cached,2.9388638523278146,ms
99.9th percentile latency,country_agg_cached,26.48178829582316,ms
99.99th percentile latency,country_agg_cached,42.22434028443193,ms
100th percentile latency,country_agg_cached,42.46680800952163,ms
50th percentile service time,country_agg_cached,1.193884500025888,ms
90th percentile service time,country_agg_cached,1.462762499886594,ms
99th percentile service time,country_agg_cached,1.7126434398142014,ms
99.9th percentile service time,country_agg_cached,25.39582862111874,ms
99.99th percentile service time,country_agg_cached,41.01504622390531,ms
100th percentile service time,country_agg_cached,41.51028200021756,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,1880.48,pages/s
Mean Throughput,scroll,1903.36,pages/s
Median Throughput,scroll,1901.54,pages/s
Max Throughput,scroll,1932.55,pages/s
50th percentile latency,scroll,178526.77004899987,ms
90th percentile latency,scroll,209223.72333380036,ms
99th percentile latency,scroll,215708.97607325003,ms
99.9th percentile latency,scroll,216619.00051003823,ms
100th percentile latency,scroll,216789.75803100003,ms
50th percentile service time,scroll,833.4102164999422,ms
90th percentile service time,scroll,1018.3511004997854,ms
99th percentile service time,scroll,1269.9875378997933,ms
99.9th percentile service time,scroll,1463.6485597056528,ms
100th percentile service time,scroll,1557.290813000236,ms
error rate,scroll,0.00,%
Min Throughput,expression,159.85,ops/s
Mean Throughput,expression,160.33,ops/s
Median Throughput,expression,160.34,ops/s
Max Throughput,expression,160.45,ops/s
50th percentile latency,expression,67550.44126249981,ms
90th percentile latency,expression,78415.35416570009,ms
99th percentile latency,expression,80994.70680956976,ms
99.9th percentile latency,expression,81699.18696014587,ms
100th percentile latency,expression,82007.35872600036,ms
50th percentile service time,expression,405.1879055000427,ms
90th percentile service time,expression,482.38257709977006,ms
99th percentile service time,expression,608.9047279900161,ms
99.9th percentile service time,expression,667.670130798985,ms
100th percentile service time,expression,742.5025990000904,ms
error rate,expression,0.00,%
Min Throughput,painless_static,128.30,ops/s
Mean Throughput,painless_static,128.60,ops/s
Median Throughput,painless_static,128.56,ops/s
Max Throughput,painless_static,128.86,ops/s
50th percentile latency,painless_static,91956.45053650014,ms
90th percentile latency,painless_static,106405.71851399986,ms
99th percentile latency,painless_static,109705.06939309005,ms
99.9th percentile latency,painless_static,110335.61358642798,ms
100th percentile latency,painless_static,110625.27236300003,ms
50th percentile service time,painless_static,501.60209649993703,ms
90th percentile service time,painless_static,581.0700102997544,ms
99th percentile service time,painless_static,674.3150866799716,ms
99.9th percentile service time,painless_static,776.794843011944,ms
100th percentile service time,painless_static,813.3787079996182,ms
error rate,painless_static,0.00,%
Min Throughput,painless_dynamic,124.22,ops/s
Mean Throughput,painless_dynamic,124.68,ops/s
Median Throughput,painless_dynamic,124.74,ops/s
Max Throughput,painless_dynamic,124.96,ops/s
50th percentile latency,painless_dynamic,96137.22193749982,ms
90th percentile latency,painless_dynamic,111579.55855299956,ms
99th percentile latency,painless_dynamic,115181.49519535957,ms
99.9th percentile latency,painless_dynamic,116001.55837537203,ms
100th percentile latency,painless_dynamic,116243.82747300024,ms
50th percentile service time,painless_dynamic,516.8033565000769,ms
90th percentile service time,painless_dynamic,606.3619037003264,ms
99th percentile service time,painless_dynamic,696.2241733700015,ms
99.9th percentile service time,painless_dynamic,784.9907845340557,ms
100th percentile service time,painless_dynamic,821.1179500003709,ms
error rate,painless_dynamic,0.00,%
Min Throughput,decay_geo_gauss_function_score,103.69,ops/s
Mean Throughput,decay_geo_gauss_function_score,104.33,ops/s
Median Throughput,decay_geo_gauss_function_score,104.32,ops/s
Max Throughput,decay_geo_gauss_function_score,104.59,ops/s
50th percentile latency,decay_geo_gauss_function_score,121319.0165484998,ms
90th percentile latency,decay_geo_gauss_function_score,140285.80313390013,ms
99th percentile latency,decay_geo_gauss_function_score,144715.01431423976,ms
99.9th percentile latency,decay_geo_gauss_function_score,145755.19832045407,ms
100th percentile latency,decay_geo_gauss_function_score,146517.71580800004,ms
50th percentile service time,decay_geo_gauss_function_score,619.5168530000501,ms
90th percentile service time,decay_geo_gauss_function_score,708.1588620999811,ms
99th percentile service time,decay_geo_gauss_function_score,868.3263555299437,ms
99.9th percentile service time,decay_geo_gauss_function_score,973.1408359410309,ms
100th percentile service time,decay_geo_gauss_function_score,1027.0110859996748,ms
error rate,decay_geo_gauss_function_score,0.00,%
Min Throughput,decay_geo_gauss_script_score,100.50,ops/s
Mean Throughput,decay_geo_gauss_script_score,101.00,ops/s
Median Throughput,decay_geo_gauss_script_score,101.00,ops/s
Max Throughput,decay_geo_gauss_script_score,101.08,ops/s
50th percentile latency,decay_geo_gauss_script_score,126272.84241549979,ms
90th percentile latency,decay_geo_gauss_script_score,146577.16010329992,ms
99th percentile latency,decay_geo_gauss_script_score,151145.99565104998,ms
99.9th percentile latency,decay_geo_gauss_script_score,152128.80529783052,ms
100th percentile latency,decay_geo_gauss_script_score,152725.44805900042,ms
50th percentile service time,decay_geo_gauss_script_score,648.0309555001895,ms
90th percentile service time,decay_geo_gauss_script_score,735.5523141001413,ms
99th percentile service time,decay_geo_gauss_script_score,842.7146002097517,ms
99.9th percentile service time,decay_geo_gauss_script_score,944.8060015858445,ms
100th percentile service time,decay_geo_gauss_script_score,1057.5098369999978,ms
error rate,decay_geo_gauss_script_score,0.00,%
Min Throughput,field_value_function_score,355.20,ops/s
Mean Throughput,field_value_function_score,358.99,ops/s
Median Throughput,field_value_function_score,359.22,ops/s
Max Throughput,field_value_function_score,359.50,ops/s
50th percentile latency,field_value_function_score,12512.03128100019,ms
90th percentile latency,field_value_function_score,14715.350148999732,ms
99th percentile latency,field_value_function_score,15625.76205876987,ms
99.9th percentile latency,field_value_function_score,16159.974360443932,ms
100th percentile latency,field_value_function_score,16188.161549999677,ms
50th percentile service time,field_value_function_score,173.55640200025846,ms
90th percentile service time,field_value_function_score,229.8217270002624,ms
99th percentile service time,field_value_function_score,285.7522800701782,ms
99.9th percentile service time,field_value_function_score,322.5505863428209,ms
100th percentile service time,field_value_function_score,375.82307499997114,ms
error rate,field_value_function_score,0.00,%
Min Throughput,field_value_script_score,261.91,ops/s
Mean Throughput,field_value_script_score,262.20,ops/s
