Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.057716666666668,min
Min cumulative indexing time across primary shards,,2.5228333333333333,min
Median cumulative indexing time across primary shards,,2.74555,min
Max cumulative indexing time across primary shards,,2.7893333333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.8744500000000004,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.1959666666666666,min
Median cumulative merge time across primary shards,,1.2480333333333333,min
Max cumulative merge time across primary shards,,1.43045,min
Cumulative merge throttle time of primary shards,,1.0372833333333333,min
Min cumulative merge throttle time across primary shards,,0.2657333333333333,min
Median cumulative merge throttle time across primary shards,,0.3205,min
Max cumulative merge throttle time across primary shards,,0.45105,min
Cumulative refresh time of primary shards,,0.4235833333333333,min
Cumulative refresh count of primary shards,,57,
Min cumulative refresh time across primary shards,,0.1189,min
Median cumulative refresh time across primary shards,,0.1326,min
Max cumulative refresh time across primary shards,,0.1720833333333333,min
Cumulative flush time of primary shards,,0.3204,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08006666666666667,min
Median cumulative flush time across primary shards,,0.09620000000000001,min
Max cumulative flush time across primary shards,,0.14413333333333334,min
Total Young Gen GC time,,128.891,s
Total Young Gen GC count,,5879,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.686830616556108,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.94,ops/s
Mean Throughput,index-stats,499.98,ops/s
Median Throughput,index-stats,499.97,ops/s
Max Throughput,index-stats,500.52,ops/s
50th percentile latency,index-stats,1.7939429999387357,ms
90th percentile latency,index-stats,2.257382199923086,ms
99th percentile latency,index-stats,2.5892354799589157,ms
99.9th percentile latency,index-stats,2.9888152158871906,ms
99.99th percentile latency,index-stats,4.248367995335089,ms
100th percentile latency,index-stats,57.69681600509102,ms
50th percentile service time,index-stats,0.9258200001340811,ms
90th percentile service time,index-stats,1.185964499882175,ms
99th percentile service time,index-stats,1.4152790101820756,ms
99.9th percentile service time,index-stats,1.6086640250910138,ms
99.99th percentile service time,index-stats,3.3538406983783084,ms
100th percentile service time,index-stats,57.01086999988547,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.47,ops/s
Mean Throughput,node-stats,499.62,ops/s
