Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.0922,min
Min cumulative indexing time across primary shards,,2.6444833333333335,min
Median cumulative indexing time across primary shards,,2.6975333333333333,min
Max cumulative indexing time across primary shards,,2.750183333333333,min
Cumulative indexing throttle time of primary shards,,0.00135,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0.00135,min
Cumulative merge time of primary shards,,3.4322166666666667,min
Cumulative merge count of primary shards,,90,
Min cumulative merge time across primary shards,,0.9186666666666666,min
Median cumulative merge time across primary shards,,1.1465166666666666,min
Max cumulative merge time across primary shards,,1.3670333333333333,min
Cumulative merge throttle time of primary shards,,1.1185833333333333,min
Min cumulative merge throttle time across primary shards,,0.23113333333333333,min
Median cumulative merge throttle time across primary shards,,0.39498333333333335,min
Max cumulative merge throttle time across primary shards,,0.49246666666666666,min
Cumulative refresh time of primary shards,,0.2867,min
Cumulative refresh count of primary shards,,58,
Min cumulative refresh time across primary shards,,0.07425,min
Median cumulative refresh time across primary shards,,0.0867,min
Max cumulative refresh time across primary shards,,0.12575,min
Cumulative flush time of primary shards,,0.4393333333333333,min
Cumulative flush count of primary shards,,11,
Min cumulative flush time across primary shards,,0.08653333333333334,min
Median cumulative flush time across primary shards,,0.16913333333333333,min
Max cumulative flush time across primary shards,,0.18366666666666667,min
Total Young Gen GC time,,146.047,s
Total Young Gen GC count,,5656,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.767052979208529,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,29,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.88,ops/s
Mean Throughput,index-stats,499.96,ops/s
Median Throughput,index-stats,499.94,ops/s
Max Throughput,index-stats,500.62,ops/s
50th percentile latency,index-stats,1.759796499982258,ms
90th percentile latency,index-stats,2.2177120045398624,ms
99th percentile latency,index-stats,2.547210999694017,ms
99.9th percentile latency,index-stats,3.170588418807415,ms
99.99th percentile latency,index-stats,6.381647301444279,ms
100th percentile latency,index-stats,57.37703400495775,ms
50th percentile service time,index-stats,0.8399994999308547,ms
90th percentile service time,index-stats,1.1143302998789295,ms
