Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.531966666666667,min
Min cumulative indexing time across primary shards,,2.7109666666666663,min
Median cumulative indexing time across primary shards,,2.8465,min
Max cumulative indexing time across primary shards,,2.9745,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.5421,min
Cumulative merge count of primary shards,,75,
Min cumulative merge time across primary shards,,1.0591166666666667,min
Median cumulative merge time across primary shards,,1.1984,min
Max cumulative merge time across primary shards,,1.2845833333333334,min
Cumulative merge throttle time of primary shards,,0.7967,min
Min cumulative merge throttle time across primary shards,,0.23148333333333332,min
Median cumulative merge throttle time across primary shards,,0.2500833333333333,min
Max cumulative merge throttle time across primary shards,,0.3151333333333334,min
Cumulative refresh time of primary shards,,0.5026333333333334,min
Cumulative refresh count of primary shards,,51,
Min cumulative refresh time across primary shards,,0.14103333333333332,min
Median cumulative refresh time across primary shards,,0.16440000000000002,min
Max cumulative refresh time across primary shards,,0.19720000000000001,min
Cumulative flush time of primary shards,,0.36471666666666663,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08091666666666668,min
Median cumulative flush time across primary shards,,0.11896666666666667,min
Max cumulative flush time across primary shards,,0.16483333333333333,min
Total Young Gen GC time,,122.894,s
Total Young Gen GC count,,5461,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.695084457285702,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,39,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.83,ops/s
Mean Throughput,index-stats,499.92,ops/s
Median Throughput,index-stats,499.92,ops/s
Max Throughput,index-stats,500.57,ops/s
50th percentile latency,index-stats,2.001163503337011,ms
90th percentile latency,index-stats,2.490910399819768,ms
99th percentile latency,index-stats,2.8119532097753113,ms
99.9th percentile latency,index-stats,4.152820598908737,ms
99.99th percentile latency,index-stats,9.88712284817738,ms
100th percentile latency,index-stats,60.37686200488679,ms
50th percentile service time,index-stats,0.9961325001768273,ms
90th percentile service time,index-stats,1.24806049984727,ms
99th percentile service time,index-stats,1.4955631499333322,ms
99.9th percentile service time,index-stats,2.754520149137565,ms
99.99th percentile service time,index-stats,9.247493160959532,ms
100th percentile service time,index-stats,59.669760999895516,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,498.58,ops/s
Mean Throughput,node-stats,499.68,ops/s
Median Throughput,node-stats,499.77,ops/s
Max Throughput,node-stats,500.52,ops/s
50th percentile latency,node-stats,3.776417499693707,ms
90th percentile latency,node-stats,5.456779400310552,ms
99th percentile latency,node-stats,7.399046610044024,ms
99.9th percentile latency,node-stats,26.844241756761242,ms
99.99th percentile latency,node-stats,68.7284046512754,ms
100th percentile latency,node-stats,72.83903399957126,ms
50th percentile service time,node-stats,2.751712499957648,ms
90th percentile service time,node-stats,4.388169399908293,ms
99th percentile service time,node-stats,6.228483409636283,ms
99.9th percentile service time,node-stats,25.7460023139898,ms
99.99th percentile service time,node-stats,67.88992662030286,ms
100th percentile service time,node-stats,71.76517199968657,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.26,ops/s
Mean Throughput,match-all,499.59,ops/s
Median Throughput,match-all,499.63,ops/s
Max Throughput,match-all,499.75,ops/s
50th percentile latency,match-all,2.726024004005012,ms
90th percentile latency,match-all,3.203740100161667,ms
99th percentile latency,match-all,3.620649783160845,ms
99.9th percentile latency,match-all,40.219568068634615,ms
99.99th percentile latency,match-all,59.446861013541856,ms
100th percentile latency,match-all,88.19949300050212,ms
50th percentile service time,match-all,1.6453795001325489,ms
90th percentile service time,match-all,2.0198977001200547,ms
99th percentile service time,match-all,2.3587479405068743,ms
99.9th percentile service time,match-all,39.25389035536148,ms
99.99th percentile service time,match-all,58.32625091695233,ms
100th percentile service time,match-all,86.69528100017487,ms
error rate,match-all,0.00,%
Min Throughput,term,499.83,ops/s
Mean Throughput,term,499.90,ops/s
Median Throughput,term,499.91,ops/s
Max Throughput,term,499.94,ops/s
50th percentile latency,term,2.6895015030277136,ms
90th percentile latency,term,3.145636600766011,ms
99th percentile latency,term,3.485778569702234,ms
99.9th percentile latency,term,29.00845789990225,ms
99.99th percentile latency,term,75.255541363648,ms
100th percentile latency,term,76.36117800029751,ms
50th percentile service time,term,1.607500000318396,ms
90th percentile service time,term,1.9501621999552299,ms
99th percentile service time,term,2.241503399845897,ms
99.9th percentile service time,term,27.959963548925973,ms
99.99th percentile service time,term,74.1026834433219,ms
100th percentile service time,term,75.06971699967835,ms
error rate,term,0.00,%
Min Throughput,phrase,499.71,ops/s
Mean Throughput,phrase,499.85,ops/s
Median Throughput,phrase,499.86,ops/s
Max Throughput,phrase,500.09,ops/s
50th percentile latency,phrase,2.988414003084472,ms
90th percentile latency,phrase,3.4411595011079044,ms
99th percentile latency,phrase,3.8286796600095845,ms
99.9th percentile latency,phrase,32.54390089915675,ms
99.99th percentile latency,phrase,38.10443945952091,ms
100th percentile latency,phrase,46.02628599968739,ms
50th percentile service time,phrase,1.9387125003049732,ms
90th percentile service time,phrase,2.2643073997642205,ms
99th percentile service time,phrase,2.559090519589519,ms
99.9th percentile service time,phrase,31.763285476429363,ms
99.99th percentile service time,phrase,37.04823279078957,ms
100th percentile service time,phrase,44.62698099996487,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,172.71,ops/s
Mean Throughput,country_agg_uncached,173.32,ops/s
Median Throughput,country_agg_uncached,173.35,ops/s
Max Throughput,country_agg_uncached,173.74,ops/s
50th percentile latency,country_agg_uncached,59756.44447299965,ms
90th percentile latency,country_agg_uncached,69203.12699070001,ms
99th percentile latency,country_agg_uncached,71385.12666848008,ms
99.9th percentile latency,country_agg_uncached,71835.36633724901,ms
100th percentile latency,country_agg_uncached,72009.69968899971,ms
50th percentile service time,country_agg_uncached,360.0991254998007,ms
90th percentile service time,country_agg_uncached,413.17060789961033,ms
99th percentile service time,country_agg_uncached,469.62245409993557,ms
99.9th percentile service time,country_agg_uncached,576.7526283757943,ms
100th percentile service time,country_agg_uncached,649.5630059998803,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,499.67,ops/s
Mean Throughput,country_agg_cached,499.79,ops/s
Median Throughput,country_agg_cached,499.79,ops/s
