Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.113116666666667,min
Min cumulative indexing time across primary shards,,2.54815,min
Median cumulative indexing time across primary shards,,2.7502666666666666,min
Max cumulative indexing time across primary shards,,2.8147,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.3882666666666665,min
Cumulative merge count of primary shards,,66,
Min cumulative merge time across primary shards,,0.9625666666666667,min
Median cumulative merge time across primary shards,,1.3875166666666667,min
Max cumulative merge time across primary shards,,2.0381833333333335,min
Cumulative merge throttle time of primary shards,,1.9808,min
Min cumulative merge throttle time across primary shards,,0.27253333333333335,min
Median cumulative merge throttle time across primary shards,,0.5529,min
Max cumulative merge throttle time across primary shards,,1.1553666666666667,min
Cumulative refresh time of primary shards,,0.6726,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.1440833333333333,min
Median cumulative refresh time across primary shards,,0.20958333333333332,min
Max cumulative refresh time across primary shards,,0.31893333333333335,min
Cumulative flush time of primary shards,,0.4324,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.11518333333333333,min
Median cumulative flush time across primary shards,,0.14696666666666666,min
Max cumulative flush time across primary shards,,0.17024999999999998,min
Total Young Gen GC time,,123.335,s
Total Young Gen GC count,,5419,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.713729449547827,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,37,
error rate,index-append,0.00,%
Min Throughput,index-stats,499.84,ops/s
Mean Throughput,index-stats,499.93,ops/s
Median Throughput,index-stats,499.93,ops/s
Max Throughput,index-stats,500.26,ops/s
50th percentile latency,index-stats,1.8398319999732848,ms
90th percentile latency,index-stats,2.2960076010576813,ms
99th percentile latency,index-stats,2.6358440608964884,ms
99.9th percentile latency,index-stats,3.5883843557967507,ms
99.99th percentile latency,index-stats,8.826005701768823,ms
100th percentile latency,index-stats,12.343749999899956,ms
50th percentile service time,index-stats,0.9341794999500053,ms
90th percentile service time,index-stats,1.1792063999564562,ms
99th percentile service time,index-stats,1.4016965201290077,ms
99.9th percentile service time,index-stats,2.1560383589660908,ms
99.99th percentile service time,index-stats,7.566616146744845,ms
100th percentile service time,index-stats,11.218728999892846,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,499.00,ops/s
Mean Throughput,node-stats,499.82,ops/s
Median Throughput,node-stats,499.84,ops/s
Max Throughput,node-stats,502.33,ops/s
50th percentile latency,node-stats,3.5981205001007766,ms
90th percentile latency,node-stats,5.2397718999372955,ms
99th percentile latency,node-stats,7.1383661999675505,ms
99.9th percentile latency,node-stats,8.191319700124339,ms
99.99th percentile latency,node-stats,73.65592255996292,ms
100th percentile latency,node-stats,75.93964600005165,ms
50th percentile service time,node-stats,2.638257500052532,ms
90th percentile service time,node-stats,4.201744900069571,ms
99th percentile service time,node-stats,6.013855430003332,ms
99.9th percentile service time,node-stats,7.07478264401789,ms
99.99th percentile service time,node-stats,72.81962810245648,ms
100th percentile service time,node-stats,75.27288000005683,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,499.36,ops/s
Mean Throughput,match-all,499.67,ops/s
Median Throughput,match-all,499.69,ops/s
Max Throughput,match-all,500.13,ops/s
50th percentile latency,match-all,2.4268339998343436,ms
90th percentile latency,match-all,2.9097550003143624,ms
99th percentile latency,match-all,3.2881221313073183,ms
99.9th percentile latency,match-all,26.53788595177741,ms
99.99th percentile latency,match-all,54.42552838350582,ms
100th percentile latency,match-all,58.863797005187735,ms
50th percentile service time,match-all,1.4516129999719851,ms
90th percentile service time,match-all,1.78524969985574,ms
99th percentile service time,match-all,2.077367340093588,ms
99.9th percentile service time,match-all,25.437409109884104,ms
99.99th percentile service time,match-all,53.51710054666546,ms
100th percentile service time,match-all,57.54789000002347,ms
error rate,match-all,0.00,%
Min Throughput,term,499.77,ops/s
Mean Throughput,term,499.90,ops/s
Median Throughput,term,499.89,ops/s
Max Throughput,term,500.31,ops/s
50th percentile latency,term,2.493945501100825,ms
90th percentile latency,term,2.9655107000280623,ms
99th percentile latency,term,3.3797957663023226,ms
99.9th percentile latency,term,43.37887004590106,ms
99.99th percentile latency,term,78.58408280901817,ms
100th percentile latency,term,80.37231599973893,ms
50th percentile service time,term,1.4990699997952106,ms
90th percentile service time,term,1.8409061998909237,ms
99th percentile service time,term,2.176875399816254,ms
99.9th percentile service time,term,42.58598601206538,ms
99.99th percentile service time,term,77.93401305795481,ms
100th percentile service time,term,78.99438399999781,ms
error rate,term,0.00,%
Min Throughput,phrase,499.56,ops/s
Mean Throughput,phrase,499.76,ops/s
Median Throughput,phrase,499.78,ops/s
Max Throughput,phrase,499.85,ops/s
50th percentile latency,phrase,2.761761501460569,ms
90th percentile latency,phrase,3.2378572003381123,ms
99th percentile latency,phrase,3.644992970380373,ms
99.9th percentile latency,phrase,28.3512314987953,ms
99.99th percentile latency,phrase,38.238797856383606,ms
100th percentile latency,phrase,40.1397620021271,ms
50th percentile service time,phrase,1.809349000268412,ms
90th percentile service time,phrase,2.1202411998729076,ms
99th percentile service time,phrase,2.406993050035453,ms
99.9th percentile service time,phrase,27.471723878046795,ms
99.99th percentile service time,phrase,37.01955697588869,ms
100th percentile service time,phrase,39.11052400007975,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,161.27,ops/s
Mean Throughput,country_agg_uncached,161.78,ops/s
Median Throughput,country_agg_uncached,161.82,ops/s
Max Throughput,country_agg_uncached,162.14,ops/s
50th percentile latency,country_agg_uncached,66496.12390699962,ms
90th percentile latency,country_agg_uncached,77162.31608380008,ms
