Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.421933333333333,min
Min cumulative indexing time across primary shards,,2.7703833333333336,min
Median cumulative indexing time across primary shards,,2.8238333333333334,min
Max cumulative indexing time across primary shards,,2.827716666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.4858166666666666,min
Cumulative merge count of primary shards,,67,
Min cumulative merge time across primary shards,,1.0852166666666667,min
Median cumulative merge time across primary shards,,1.1661333333333335,min
Max cumulative merge time across primary shards,,1.2344666666666666,min
Cumulative merge throttle time of primary shards,,1.0326333333333333,min
Min cumulative merge throttle time across primary shards,,0.30335,min
Median cumulative merge throttle time across primary shards,,0.3046333333333333,min
Max cumulative merge throttle time across primary shards,,0.42464999999999997,min
Cumulative refresh time of primary shards,,0.42833333333333334,min
Cumulative refresh count of primary shards,,50,
Min cumulative refresh time across primary shards,,0.09028333333333333,min
Median cumulative refresh time across primary shards,,0.14518333333333333,min
Max cumulative refresh time across primary shards,,0.19286666666666666,min
Cumulative flush time of primary shards,,0.4021666666666667,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.08176666666666667,min
Median cumulative flush time across primary shards,,0.11351666666666667,min
Max cumulative flush time across primary shards,,0.20688333333333334,min
Total Young Gen GC time,,218.961,s
Total Young Gen GC count,,5423,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.76673583034426,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,38,
error rate,index-append,0.00,%
Min Throughput,index-stats,6899.67,ops/s
Mean Throughput,index-stats,7439.19,ops/s
Median Throughput,index-stats,7243.64,ops/s
Max Throughput,index-stats,7994.32,ops/s
50th percentile latency,index-stats,2.210298501267971,ms
90th percentile latency,index-stats,461.06308580092434,ms
99th percentile latency,index-stats,813.5920597886981,ms
99.9th percentile latency,index-stats,931.1158689196856,ms
99.99th percentile latency,index-stats,965.634235392962,ms
100th percentile latency,index-stats,981.8573570009903,ms
50th percentile service time,index-stats,1.0886484997172374,ms
90th percentile service time,index-stats,1.936932000899105,ms
99th percentile service time,index-stats,69.671430549206,ms
