Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.3161,min
Min cumulative indexing time across primary shards,,2.69885,min
Median cumulative indexing time across primary shards,,2.8072833333333334,min
Max cumulative indexing time across primary shards,,2.809966666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.731866666666667,min
Cumulative merge count of primary shards,,74,
Min cumulative merge time across primary shards,,1.0626333333333333,min
Median cumulative merge time across primary shards,,1.163,min
Max cumulative merge time across primary shards,,1.5062333333333333,min
Cumulative merge throttle time of primary shards,,0.9888166666666667,min
Min cumulative merge throttle time across primary shards,,0.2642833333333333,min
Median cumulative merge throttle time across primary shards,,0.27975,min
Max cumulative merge throttle time across primary shards,,0.44478333333333336,min
Cumulative refresh time of primary shards,,0.46371666666666667,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.11810000000000001,min
Median cumulative refresh time across primary shards,,0.1642833333333333,min
Max cumulative refresh time across primary shards,,0.18133333333333335,min
Cumulative flush time of primary shards,,0.32086666666666663,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.06755,min
Median cumulative flush time across primary shards,,0.0788,min
Max cumulative flush time across primary shards,,0.17451666666666668,min
Total Young Gen GC time,,104.897,s
Total Young Gen GC count,,4909,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.744786042720079,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,41,
error rate,index-append,0.00,%
Min Throughput,index-stats,7272.09,ops/s
Mean Throughput,index-stats,7851.38,ops/s
Median Throughput,index-stats,7987.33,ops/s
Max Throughput,index-stats,7994.05,ops/s
50th percentile latency,index-stats,2.0497614996202174,ms
90th percentile latency,index-stats,441.1800249994484,ms
99th percentile latency,index-stats,765.4320365994143,ms
99.9th percentile latency,index-stats,940.958584687976,ms
99.99th percentile latency,index-stats,999.0904124679553,ms
100th percentile latency,index-stats,1011.929203001273,ms
50th percentile service time,index-stats,0.9808334998524515,ms
90th percentile service time,index-stats,2.4127064007188883,ms
99th percentile service time,index-stats,70.86806268998772,ms
99.9th percentile service time,index-stats,90.42463901819632,ms
99.99th percentile service time,index-stats,394.81600780127957,ms
100th percentile service time,index-stats,400.5259470013698,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4228.79,ops/s
Mean Throughput,node-stats,4327.69,ops/s
Median Throughput,node-stats,4314.24,ops/s
Max Throughput,node-stats,4502.27,ops/s
50th percentile latency,node-stats,4067.3198900003626,ms
90th percentile latency,node-stats,6732.248966199222,ms
99th percentile latency,node-stats,7637.993136109763,ms
99.9th percentile latency,node-stats,7750.100949603413,ms
99.99th percentile latency,node-stats,7780.8754467210765,ms
100th percentile latency,node-stats,7790.528364001148,ms
50th percentile service time,node-stats,3.7958009997964837,ms
90th percentile service time,node-stats,47.04128940047667,ms
99th percentile service time,node-stats,69.39721123095296,ms
99.9th percentile service time,node-stats,95.72513163373186,ms
99.99th percentile service time,node-stats,309.02949701828237,ms
100th percentile service time,node-stats,401.09793699957663,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,7276.47,ops/s
Mean Throughput,match-all,7574.54,ops/s
Median Throughput,match-all,7637.22,ops/s
Max Throughput,match-all,7743.90,ops/s
50th percentile latency,match-all,2.2920810006326064,ms
90th percentile latency,match-all,58.63102439980121,ms
99th percentile latency,match-all,277.7267594013029,ms
99.9th percentile latency,match-all,333.09843419833896,ms
99.99th percentile latency,match-all,348.5679968901077,ms
100th percentile latency,match-all,352.0923590003804,ms
50th percentile service time,match-all,1.4241170010791393,ms
90th percentile service time,match-all,2.171855500091624,ms
99th percentile service time,match-all,24.039870720771514,ms
99.9th percentile service time,match-all,57.36200175650829,ms
99.99th percentile service time,match-all,111.28712486452058,ms
100th percentile service time,match-all,134.1181770003459,ms
error rate,match-all,0.00,%
Min Throughput,term,7524.20,ops/s
Mean Throughput,term,7910.84,ops/s
Median Throughput,term,7990.40,ops/s
Max Throughput,term,7993.81,ops/s
50th percentile latency,term,2.495957999599341,ms
90th percentile latency,term,354.50912430114835,ms
99th percentile latency,term,520.4276708504223,ms
99.9th percentile latency,term,700.8926883604308,ms
99.99th percentile latency,term,767.3690809047456,ms
100th percentile latency,term,778.7332190000598,ms
50th percentile service time,term,1.496462000432075,ms
90th percentile service time,term,2.320109500215039,ms
99th percentile service time,term,62.41833847881937,ms
99.9th percentile service time,term,88.68223586358258,ms
99.99th percentile service time,term,112.33642667429791,ms
100th percentile service time,term,298.3826020008564,ms
error rate,term,0.00,%
Min Throughput,phrase,7773.06,ops/s
Mean Throughput,phrase,7869.70,ops/s
Median Throughput,phrase,7893.25,ops/s
Max Throughput,phrase,7933.55,ops/s
50th percentile latency,phrase,2.4635984991618898,ms
90th percentile latency,phrase,100.46289670062828,ms
99th percentile latency,phrase,341.17135769134626,ms
99.9th percentile latency,phrase,393.25738384169466,ms
99.99th percentile latency,phrase,409.38467565307127,ms
100th percentile latency,phrase,420.15555599937215,ms
50th percentile service time,phrase,1.611140500244801,ms
90th percentile service time,phrase,1.9882242993844557,ms
99th percentile service time,phrase,46.4813159114065,ms
99.9th percentile service time,phrase,83.27056111190201,ms
99.99th percentile service time,phrase,99.00460045323206,ms
100th percentile service time,phrase,99.84409199932998,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,139.42,ops/s
Mean Throughput,country_agg_uncached,139.59,ops/s
Median Throughput,country_agg_uncached,139.61,ops/s
Max Throughput,country_agg_uncached,139.71,ops/s
50th percentile latency,country_agg_uncached,112415.52391549977,ms
90th percentile latency,country_agg_uncached,130364.9971580011,ms
99th percentile latency,country_agg_uncached,134264.69702786935,ms
99.9th percentile latency,country_agg_uncached,134686.95086707833,ms
100th percentile latency,country_agg_uncached,134972.4594899999,ms
50th percentile service time,country_agg_uncached,446.37353799953416,ms
90th percentile service time,country_agg_uncached,530.9597625986498,ms
99th percentile service time,country_agg_uncached,605.1093420407782,ms
99.9th percentile service time,country_agg_uncached,709.3856635978705,ms
100th percentile service time,country_agg_uncached,785.6431000000157,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,country_agg_cached,7907.32,ops/s
Mean Throughput,country_agg_cached,7928.98,ops/s
Median Throughput,country_agg_cached,7932.97,ops/s
Max Throughput,country_agg_cached,7945.94,ops/s
50th percentile latency,country_agg_cached,2.068119501018373,ms
90th percentile latency,country_agg_cached,3.717986201263554,ms
99th percentile latency,country_agg_cached,138.60071926210367,ms
99.9th percentile latency,country_agg_cached,209.71998580190686,ms
99.99th percentile latency,country_agg_cached,229.11173394661733,ms
100th percentile latency,country_agg_cached,236.69537299974763,ms
50th percentile service time,country_agg_cached,1.1855370003104326,ms
90th percentile service time,country_agg_cached,1.6158492990143714,ms
99th percentile service time,country_agg_cached,10.72114218002759,ms
99.9th percentile service time,country_agg_cached,63.8284376225948,ms
99.99th percentile service time,country_agg_cached,75.18697871506073,ms
100th percentile service time,country_agg_cached,84.3619730003411,ms
error rate,country_agg_cached,0.00,%
Min Throughput,scroll,1651.16,pages/s
Mean Throughput,scroll,1677.17,pages/s
Median Throughput,scroll,1677.18,pages/s
Max Throughput,scroll,1683.21,pages/s
50th percentile latency,scroll,236862.82710699923,ms
90th percentile latency,scroll,273790.93765789917,ms
99th percentile latency,scroll,281705.5098302895,ms
99.9th percentile latency,scroll,282536.0650426284,ms
100th percentile latency,scroll,282895.9569390008,ms
50th percentile service time,scroll,890.5288480018498,ms
90th percentile service time,scroll,1095.6784935013277,ms
99th percentile service time,scroll,1326.1873018510964,ms
99.9th percentile service time,scroll,1550.1112406683992,ms
100th percentile service time,scroll,1610.9854380010802,ms
error rate,scroll,0.00,%
Min Throughput,expression,100.99,ops/s
