Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.775916666666665,min
Min cumulative indexing time across primary shards,,2.798783333333333,min
Median cumulative indexing time across primary shards,,2.9133833333333334,min
Max cumulative indexing time across primary shards,,3.0637499999999998,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.414383333333333,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,1.16405,min
Median cumulative merge time across primary shards,,1.2246166666666667,min
Max cumulative merge time across primary shards,,2.025716666666667,min
Cumulative merge throttle time of primary shards,,1.7119166666666668,min
Min cumulative merge throttle time across primary shards,,0.25786666666666663,min
Median cumulative merge throttle time across primary shards,,0.31048333333333333,min
Max cumulative merge throttle time across primary shards,,1.1435666666666668,min
Cumulative refresh time of primary shards,,0.6245499999999999,min
Cumulative refresh count of primary shards,,55,
Min cumulative refresh time across primary shards,,0.16908333333333334,min
Median cumulative refresh time across primary shards,,0.17255,min
Max cumulative refresh time across primary shards,,0.2829166666666667,min
Cumulative flush time of primary shards,,0.30791666666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.0799,min
Median cumulative flush time across primary shards,,0.08078333333333335,min
Max cumulative flush time across primary shards,,0.14723333333333333,min
Total Young Gen GC time,,227.21,s
Total Young Gen GC count,,5697,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.724001717753708,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
error rate,index-append,0.00,%
Min Throughput,index-stats,7786.29,ops/s
Mean Throughput,index-stats,7965.76,ops/s
Median Throughput,index-stats,7992.37,ops/s
Max Throughput,index-stats,7994.52,ops/s
50th percentile latency,index-stats,2.1346799985622056,ms
90th percentile latency,index-stats,155.44174409969852,ms
99th percentile latency,index-stats,370.78463437936114,ms
99.9th percentile latency,index-stats,531.023627776558,ms
99.99th percentile latency,index-stats,607.1360116002306,ms
100th percentile latency,index-stats,623.5349880007561,ms
50th percentile service time,index-stats,1.2044140003126813,ms
90th percentile service time,index-stats,2.9509467993193534,ms
99th percentile service time,index-stats,41.620058591670386,ms
99.9th percentile service time,index-stats,70.71574605021772,ms
99.99th percentile service time,index-stats,215.20042672965656,ms
100th percentile service time,index-stats,513.9582390002033,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4259.77,ops/s
Mean Throughput,node-stats,4406.19,ops/s
Median Throughput,node-stats,4396.81,ops/s
Max Throughput,node-stats,4604.10,ops/s
50th percentile latency,node-stats,3916.092130999459,ms
90th percentile latency,node-stats,6427.163834199564,ms
99th percentile latency,node-stats,7303.903195082021,ms
99.9th percentile latency,node-stats,7405.215111729026,ms
99.99th percentile latency,node-stats,7458.690082917322,ms
100th percentile latency,node-stats,7479.365535000397,ms
50th percentile service time,node-stats,3.0380745001821197,ms
90th percentile service time,node-stats,59.358903099382566,ms
99th percentile service time,node-stats,71.88688195048599,ms
99.9th percentile service time,node-stats,92.18012297415784,ms
99.99th percentile service time,node-stats,389.5489686470296,ms
100th percentile service time,node-stats,478.2609189987852,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,7506.81,ops/s
Mean Throughput,match-all,7920.41,ops/s
Median Throughput,match-all,7981.54,ops/s
Max Throughput,match-all,7988.53,ops/s
50th percentile latency,match-all,2.4629345007269876,ms
90th percentile latency,match-all,227.70597829985485,ms
99th percentile latency,match-all,510.2603587097475,ms
99.9th percentile latency,match-all,586.3724075515589,ms
99.99th percentile latency,match-all,610.1410915189828,ms
100th percentile latency,match-all,614.9895210000977,ms
50th percentile service time,match-all,1.5475894997507567,ms
90th percentile service time,match-all,2.3718898002698547,ms
99th percentile service time,match-all,37.27971731075741,ms
99.9th percentile service time,match-all,80.5206678414406,ms
99.99th percentile service time,match-all,98.28133229379169,ms
100th percentile service time,match-all,100.88281799835386,ms
error rate,match-all,0.00,%
Min Throughput,term,7491.81,ops/s
Mean Throughput,term,7923.55,ops/s
Median Throughput,term,7985.62,ops/s
Max Throughput,term,7991.32,ops/s
50th percentile latency,term,2.34546150022652,ms
90th percentile latency,term,243.35336990006897,ms
99th percentile latency,term,554.8093600812537,ms
