Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.063316666666667,min
Min cumulative indexing time across primary shards,,2.652916666666667,min
Median cumulative indexing time across primary shards,,2.6727166666666666,min
Max cumulative indexing time across primary shards,,2.7376833333333335,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.0667,min
Cumulative merge count of primary shards,,86,
Min cumulative merge time across primary shards,,0.99985,min
Median cumulative merge time across primary shards,,1.02925,min
Max cumulative merge time across primary shards,,1.0376,min
Cumulative merge throttle time of primary shards,,1.0000166666666666,min
Min cumulative merge throttle time across primary shards,,0.27675,min
Median cumulative merge throttle time across primary shards,,0.32903333333333334,min
Max cumulative merge throttle time across primary shards,,0.3942333333333333,min
Cumulative refresh time of primary shards,,0.30826666666666663,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.08383333333333334,min
Median cumulative refresh time across primary shards,,0.09738333333333334,min
Max cumulative refresh time across primary shards,,0.12705,min
Cumulative flush time of primary shards,,0.25535,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.06898333333333334,min
Median cumulative flush time across primary shards,,0.07768333333333333,min
Max cumulative flush time across primary shards,,0.10868333333333333,min
Total Young Gen GC time,,138.226,s
Total Young Gen GC count,,5265,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.8241067342460155,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,36,
error rate,index-append,0.00,%
Min Throughput,index-stats,7279.06,ops/s
Mean Throughput,index-stats,7861.93,ops/s
Median Throughput,index-stats,7992.66,ops/s
Max Throughput,index-stats,7995.91,ops/s
50th percentile latency,index-stats,2.114873500431713,ms
90th percentile latency,index-stats,396.1916830008704,ms
99th percentile latency,index-stats,697.1258418608893,ms
99.9th percentile latency,index-stats,815.8295663461249,ms
99.99th percentile latency,index-stats,849.5857600184728,ms
100th percentile latency,index-stats,867.285111999081,ms
50th percentile service time,index-stats,1.058340999406937,ms
90th percentile service time,index-stats,2.419845901567896,ms
99th percentile service time,index-stats,66.91640197917879,ms
99.9th percentile service time,index-stats,90.41923596453314,ms
99.99th percentile service time,index-stats,307.36790694541736,ms
100th percentile service time,index-stats,393.19942900147,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4258.45,ops/s
Mean Throughput,node-stats,4464.69,ops/s
Median Throughput,node-stats,4410.32,ops/s
Max Throughput,node-stats,4962.65,ops/s
50th percentile latency,node-stats,3853.367601001082,ms
90th percentile latency,node-stats,6796.8458334007655,ms
99th percentile latency,node-stats,7790.255658961814,ms
99.9th percentile latency,node-stats,7888.928633286228,ms
99.99th percentile latency,node-stats,7935.569939967965,ms
