Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.428,min
Min cumulative indexing time across primary shards,,2.262983333333333,min
Median cumulative indexing time across primary shards,,2.460583333333333,min
Max cumulative indexing time across primary shards,,2.7044333333333332,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.6605333333333334,min
Cumulative merge count of primary shards,,80,
Min cumulative merge time across primary shards,,0.9537333333333333,min
Median cumulative merge time across primary shards,,1.2972166666666667,min
Max cumulative merge time across primary shards,,1.4095833333333334,min
Cumulative merge throttle time of primary shards,,1.5457833333333333,min
Min cumulative merge throttle time across primary shards,,0.3790833333333333,min
Median cumulative merge throttle time across primary shards,,0.5720166666666666,min
Max cumulative merge throttle time across primary shards,,0.5946833333333333,min
Cumulative refresh time of primary shards,,0.33235,min
Cumulative refresh count of primary shards,,58,
Min cumulative refresh time across primary shards,,0.07888333333333333,min
Median cumulative refresh time across primary shards,,0.12551666666666667,min
Max cumulative refresh time across primary shards,,0.12794999999999998,min
Cumulative flush time of primary shards,,0.20595,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.06656666666666668,min
Median cumulative flush time across primary shards,,0.06723333333333333,min
Max cumulative flush time across primary shards,,0.07214999999999999,min
Total Young Gen GC time,,132.686,s
Total Young Gen GC count,,5191,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.762804285623133,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,25,
error rate,index-append,0.00,%
Min Throughput,index-stats,7897.61,ops/s
Mean Throughput,index-stats,7977.13,ops/s
Median Throughput,index-stats,7990.07,ops/s
Max Throughput,index-stats,7994.29,ops/s
50th percentile latency,index-stats,2.077477500279201,ms
90th percentile latency,index-stats,115.19124439964797,ms
99th percentile latency,index-stats,304.1336473190677,ms
99.9th percentile latency,index-stats,433.23450097217716,ms
99.99th percentile latency,index-stats,502.0348336242759,ms
100th percentile latency,index-stats,517.0783260000462,ms
50th percentile service time,index-stats,0.9584560002622311,ms
90th percentile service time,index-stats,3.4273895002115746,ms
99th percentile service time,index-stats,33.85248432045046,ms
99.9th percentile service time,index-stats,64.2873170454098,ms
99.99th percentile service time,index-stats,110.63232285596919,ms
100th percentile service time,index-stats,399.1307720007171,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4218.92,ops/s
Mean Throughput,node-stats,4388.01,ops/s
Median Throughput,node-stats,4340.35,ops/s
Max Throughput,node-stats,4802.13,ops/s
50th percentile latency,node-stats,4028.6667750015113,ms
90th percentile latency,node-stats,6977.443815699916,ms
99th percentile latency,node-stats,8070.422478259553,ms
99.9th percentile latency,node-stats,8446.74598183515,ms
99.99th percentile latency,node-stats,8473.76786058787,ms
100th percentile latency,node-stats,8477.630180999768,ms
50th percentile service time,node-stats,5.039211000621435,ms
90th percentile service time,node-stats,30.517409900858176,ms
99th percentile service time,node-stats,60.47813151099041,ms
99.9th percentile service time,node-stats,133.98601688936375,ms
99.99th percentile service time,node-stats,393.4261568827194,ms
100th percentile service time,node-stats,598.9510409999639,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,7940.36,ops/s
Mean Throughput,match-all,7970.27,ops/s
Median Throughput,match-all,7977.81,ops/s
Max Throughput,match-all,7986.36,ops/s
50th percentile latency,match-all,1.9651339998745243,ms
90th percentile latency,match-all,129.15233409967183,ms
99th percentile latency,match-all,339.8349519714976,ms
99.9th percentile latency,match-all,406.54116280847126,ms
99.99th percentile latency,match-all,441.8514576936854,ms
100th percentile latency,match-all,450.93974200062803,ms
50th percentile service time,match-all,1.0611949992380687,ms
90th percentile service time,match-all,1.5713044991571221,ms
99th percentile service time,match-all,57.229098520110774,ms
99.9th percentile service time,match-all,77.890911657345,ms
99.99th percentile service time,match-all,88.21044004364241,ms
100th percentile service time,match-all,90.78695800053538,ms
error rate,match-all,0.00,%
