Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.475516666666667,min
Min cumulative indexing time across primary shards,,2.422066666666667,min
Median cumulative indexing time across primary shards,,2.4270833333333335,min
Max cumulative indexing time across primary shards,,2.6263666666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7340333333333335,min
Cumulative merge count of primary shards,,73,
Min cumulative merge time across primary shards,,1.04585,min
Median cumulative merge time across primary shards,,1.2989333333333335,min
Max cumulative merge time across primary shards,,1.38925,min
Cumulative merge throttle time of primary shards,,1.7673333333333334,min
Min cumulative merge throttle time across primary shards,,0.46,min
Median cumulative merge throttle time across primary shards,,0.6377,min
Max cumulative merge throttle time across primary shards,,0.6696333333333333,min
Cumulative refresh time of primary shards,,0.36743333333333333,min
Cumulative refresh count of primary shards,,55,
Min cumulative refresh time across primary shards,,0.06428333333333333,min
Median cumulative refresh time across primary shards,,0.11851666666666666,min
Max cumulative refresh time across primary shards,,0.18463333333333332,min
Cumulative flush time of primary shards,,0.28026666666666666,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.087,min
Median cumulative flush time across primary shards,,0.09265,min
Max cumulative flush time across primary shards,,0.10061666666666666,min
Total Young Gen GC time,,141.78,s
Total Young Gen GC count,,5492,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.781978644430637,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,37,
error rate,index-append,0.00,%
Min Throughput,index-stats,7193.93,ops/s
Mean Throughput,index-stats,7850.35,ops/s
Median Throughput,index-stats,7964.34,ops/s
Max Throughput,index-stats,7974.84,ops/s
50th percentile latency,index-stats,1.5823449994059047,ms
90th percentile latency,index-stats,422.7877565994276,ms
99th percentile latency,index-stats,742.2044701894266,ms
99.9th percentile latency,index-stats,831.9951953607854,ms
99.99th percentile latency,index-stats,863.2448958236668,ms
100th percentile latency,index-stats,880.8862299993052,ms
50th percentile service time,index-stats,0.7057950006128522,ms
90th percentile service time,index-stats,1.4588445988920276,ms
99th percentile service time,index-stats,63.45709504941625,ms
99.9th percentile service time,index-stats,88.16760502998369,ms
99.99th percentile service time,index-stats,300.8387612158827,ms
100th percentile service time,index-stats,406.5204109992919,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4193.81,ops/s
Mean Throughput,node-stats,4290.61,ops/s
Median Throughput,node-stats,4275.92,ops/s
Max Throughput,node-stats,4498.59,ops/s
50th percentile latency,node-stats,4161.590271500245,ms
90th percentile latency,node-stats,6980.019016600818,ms
99th percentile latency,node-stats,7950.214648220426,ms
99.9th percentile latency,node-stats,8239.839862731693,ms
99.99th percentile latency,node-stats,8269.110783147822,ms
100th percentile latency,node-stats,8279.764966000585,ms
50th percentile service time,node-stats,4.560269499961578,ms
90th percentile service time,node-stats,41.50750169901584,ms
99th percentile service time,node-stats,63.824796179669704,ms
99.9th percentile service time,node-stats,95.13405058266717,ms
99.99th percentile service time,node-stats,301.97679650060684,ms
100th percentile service time,node-stats,399.3032939997647,ms
error rate,node-stats,0.00,%
Min Throughput,match-all,7070.92,ops/s
Mean Throughput,match-all,7506.59,ops/s
Median Throughput,match-all,7589.95,ops/s
Max Throughput,match-all,7712.34,ops/s
50th percentile latency,match-all,1.871883999228885,ms
90th percentile latency,match-all,108.99531930062949,ms
99th percentile latency,match-all,301.94861867932565,ms
