Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.642533333333335,min
Min cumulative indexing time across primary shards,,2.83805,min
Median cumulative indexing time across primary shards,,2.8815166666666667,min
Max cumulative indexing time across primary shards,,2.9229666666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.5450999999999997,min
Cumulative merge count of primary shards,,63,
Min cumulative merge time across primary shards,,1.0964500000000001,min
Median cumulative merge time across primary shards,,1.2024333333333332,min
Max cumulative merge time across primary shards,,1.2462166666666665,min
Cumulative merge throttle time of primary shards,,1.0917166666666667,min
Min cumulative merge throttle time across primary shards,,0.30675,min
Median cumulative merge throttle time across primary shards,,0.3619,min
Max cumulative merge throttle time across primary shards,,0.42306666666666665,min
Cumulative refresh time of primary shards,,0.6206666666666667,min
Cumulative refresh count of primary shards,,49,
Min cumulative refresh time across primary shards,,0.1793,min
Median cumulative refresh time across primary shards,,0.2047,min
Max cumulative refresh time across primary shards,,0.23666666666666666,min
Cumulative flush time of primary shards,,0.28978333333333334,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.075,min
Median cumulative flush time across primary shards,,0.09568333333333333,min
Max cumulative flush time across primary shards,,0.1191,min
Total Young Gen GC time,,169.263,s
Total Young Gen GC count,,4602,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.777516351081431,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,43,
error rate,index-append,0.00,%
Min Throughput,index-stats,7231.84,ops/s
Mean Throughput,index-stats,7841.58,ops/s
Median Throughput,index-stats,7987.33,ops/s
Max Throughput,index-stats,7993.39,ops/s
50th percentile latency,index-stats,2.4509029999535414,ms
90th percentile latency,index-stats,439.4920363991332,ms
99th percentile latency,index-stats,768.9880753600119,ms
99.9th percentile latency,index-stats,934.1790880069304,ms
99.99th percentile latency,index-stats,1013.1969783662524,ms
100th percentile latency,index-stats,1034.4953530002385,ms
50th percentile service time,index-stats,1.283935999708774,ms
90th percentile service time,index-stats,2.049697600887157,ms
99th percentile service time,index-stats,69.624786760578,ms
99.9th percentile service time,index-stats,93.03891862312622,ms
99.99th percentile service time,index-stats,358.28523566737084,ms
100th percentile service time,index-stats,492.4451599999884,ms
error rate,index-stats,0.00,%
Min Throughput,node-stats,4254.91,ops/s
Mean Throughput,node-stats,4361.38,ops/s
Median Throughput,node-stats,4329.06,ops/s
Max Throughput,node-stats,4641.46,ops/s
50th percentile latency,node-stats,4055.7585660008044,ms
90th percentile latency,node-stats,6830.543357300849,ms
99th percentile latency,node-stats,7785.131376871705,ms
99.9th percentile latency,node-stats,7970.229274378496,ms
99.99th percentile latency,node-stats,8018.839963022083,ms
100th percentile latency,node-stats,8032.444219999888,ms
50th percentile service time,node-stats,4.615290500623814,ms
90th percentile service time,node-stats,43.68518369938101,ms
99th percentile service time,node-stats,68.26836118125365,ms
99.9th percentile service time,node-stats,94.76993161960655,ms
99.99th percentile service time,node-stats,383.14123753627916,ms
100th percentile service time,node-stats,397.1927839993441,ms
