Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.691566666666667,min
Min cumulative indexing time across primary shards,,2.8168166666666665,min
Median cumulative indexing time across primary shards,,2.8196166666666667,min
Max cumulative indexing time across primary shards,,3.055133333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.9555000000000002,min
Cumulative merge count of primary shards,,71,
Min cumulative merge time across primary shards,,1.0961666666666665,min
Median cumulative merge time across primary shards,,1.3171666666666666,min
Max cumulative merge time across primary shards,,1.5421666666666667,min
Cumulative merge throttle time of primary shards,,1.21215,min
Min cumulative merge throttle time across primary shards,,0.30756666666666665,min
Median cumulative merge throttle time across primary shards,,0.31661666666666666,min
Max cumulative merge throttle time across primary shards,,0.5879666666666666,min
Cumulative refresh time of primary shards,,0.5028333333333334,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.12683333333333333,min
Median cumulative refresh time across primary shards,,0.15755,min
Max cumulative refresh time across primary shards,,0.21844999999999998,min
Cumulative flush time of primary shards,,0.36246666666666666,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07536666666666667,min
Median cumulative flush time across primary shards,,0.09688333333333334,min
Max cumulative flush time across primary shards,,0.19021666666666667,min
Total Young Gen GC time,,204.853,s
Total Young Gen GC count,,5419,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.709060195833445,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,32,
error rate,index-append,0.00,%
Min Throughput,index-stats,5814.81,ops/s
Mean Throughput,index-stats,6969.88,ops/s
Median Throughput,index-stats,6798.11,ops/s
Max Throughput,index-stats,7986.28,ops/s
50th percentile latency,index-stats,2.17055299981439,ms
90th percentile latency,index-stats,553.1197997013805,ms
99th percentile latency,index-stats,770.8649568902548,ms
