Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.612300000000001,min
Min cumulative indexing time across primary shards,,3.11905,min
Median cumulative indexing time across primary shards,,3.1388833333333332,min
Max cumulative indexing time across primary shards,,3.3543666666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.274983333333333,min
Cumulative merge count of primary shards,,66,
Min cumulative merge time across primary shards,,1.0152166666666667,min
Median cumulative merge time across primary shards,,1.0935,min
Max cumulative merge time across primary shards,,1.1662666666666666,min
Cumulative merge throttle time of primary shards,,0.9372,min
Min cumulative merge throttle time across primary shards,,0.2663,min
Median cumulative merge throttle time across primary shards,,0.28973333333333334,min
Max cumulative merge throttle time across primary shards,,0.3811666666666667,min
Cumulative refresh time of primary shards,,0.70055,min
Cumulative refresh count of primary shards,,48,
Min cumulative refresh time across primary shards,,0.19615,min
Median cumulative refresh time across primary shards,,0.25151666666666667,min
Max cumulative refresh time across primary shards,,0.25288333333333335,min
Cumulative flush time of primary shards,,0.3476,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09913333333333334,min
Median cumulative flush time across primary shards,,0.12268333333333332,min
Max cumulative flush time across primary shards,,0.12578333333333333,min
Total Young Gen GC time,,2.685,s
Total Young Gen GC count,,139,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.774918060749769,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,42,
error rate,index-append,0.00,%
Min Throughput,match-all,15841.57,ops/s
Mean Throughput,match-all,17421.85,ops/s
Median Throughput,match-all,17763.96,ops/s
Max Throughput,match-all,18537.58,ops/s
50th percentile latency,match-all,3343.172922499889,ms
90th percentile latency,match-all,4616.571733000092,ms
99th percentile latency,match-all,6298.952639049668,ms
99.9th percentile latency,match-all,6600.631271183355,ms
99.99th percentile latency,match-all,6686.786629548741,ms
100th percentile latency,match-all,6707.699978999699,ms
50th percentile service time,match-all,1.2540664999960427,ms
90th percentile service time,match-all,1.6612875000646452,ms
99th percentile service time,match-all,54.953441680054326,ms
99.9th percentile service time,match-all,96.27064607800446,ms
99.99th percentile service time,match-all,153.58942540047377,ms
100th percentile service time,match-all,498.51123300004474,ms
error rate,match-all,0.00,%
Min Throughput,term,11977.50,ops/s
Mean Throughput,term,16083.70,ops/s
Median Throughput,term,16914.17,ops/s
Max Throughput,term,18324.48,ops/s
50th percentile latency,term,2994.572883000046,ms
90th percentile latency,term,4120.199579800237,ms
99th percentile latency,term,4448.957723300014,ms
99.9th percentile latency,term,4568.035257432899,ms
99.99th percentile latency,term,4637.477219486844,ms
100th percentile latency,term,4659.981852999863,ms
50th percentile service time,term,1.2560449999909906,ms
90th percentile service time,term,1.6634892000183752,ms
99th percentile service time,term,51.46204538034454,ms
99.9th percentile service time,term,66.01845568789086,ms
99.99th percentile service time,term,103.19183022785403,ms
100th percentile service time,term,134.47924399997646,ms
error rate,term,0.00,%
Min Throughput,phrase,15410.94,ops/s
Mean Throughput,phrase,16774.58,ops/s
Median Throughput,phrase,17058.24,ops/s
Max Throughput,phrase,18133.97,ops/s
50th percentile latency,phrase,3460.720518500011,ms
90th percentile latency,phrase,4748.640666999836,ms
99th percentile latency,phrase,6272.187675030105,ms
99.9th percentile latency,phrase,6362.576005150111,ms
99.99th percentile latency,phrase,6455.8084095770055,ms
100th percentile latency,phrase,6479.844199999661,ms
50th percentile service time,phrase,1.4979630000198085,ms
90th percentile service time,phrase,2.023570600340463,ms
99th percentile service time,phrase,47.3412701097823,ms
99.9th percentile service time,phrase,99.73029477498267,ms
99.99th percentile service time,phrase,168.54824688197886,ms
100th percentile service time,phrase,188.1018200001563,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,138.18,ops/s
Mean Throughput,country_agg_uncached,138.66,ops/s
Median Throughput,country_agg_uncached,138.70,ops/s
Max Throughput,country_agg_uncached,138.99,ops/s
50th percentile latency,country_agg_uncached,114198.89738750021,ms
90th percentile latency,country_agg_uncached,132397.27590999988,ms
99th percentile latency,country_agg_uncached,136418.32021690946,ms
99.9th percentile latency,country_agg_uncached,136853.3496288012,ms
100th percentile latency,country_agg_uncached,137209.72572300024,ms
50th percentile service time,country_agg_uncached,446.5329679999286,ms
90th percentile service time,country_agg_uncached,520.0147459997879,ms
99th percentile service time,country_agg_uncached,602.2710794603839,ms
99.9th percentile service time,country_agg_uncached,669.9908469057974,ms
100th percentile service time,country_agg_uncached,740.786998999738,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2329.08,pages/s
Mean Throughput,scroll,2332.12,pages/s
Median Throughput,scroll,2332.20,pages/s
Max Throughput,scroll,2334.74,pages/s
50th percentile latency,scroll,171424.4717450001,ms
90th percentile latency,scroll,198715.75911590017,ms
99th percentile latency,scroll,204368.12742996984,ms
99.9th percentile latency,scroll,205051.55004261527,ms
100th percentile latency,scroll,205256.11285100013,ms
50th percentile service time,scroll,659.4763594998767,ms
90th percentile service time,scroll,769.655831,ms
99th percentile service time,scroll,900.0901166100721,ms
99.9th percentile service time,scroll,993.6570223988589,ms
100th percentile service time,scroll,1182.5637100000677,ms
error rate,scroll,0.00,%
