Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.985516666666666,min
Min cumulative indexing time across primary shards,,2.59105,min
Median cumulative indexing time across primary shards,,2.687116666666667,min
Max cumulative indexing time across primary shards,,2.70735,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.6714166666666666,min
Cumulative merge count of primary shards,,75,
Min cumulative merge time across primary shards,,0.9262,min
Median cumulative merge time across primary shards,,1.0782166666666666,min
Max cumulative merge time across primary shards,,1.667,min
Cumulative merge throttle time of primary shards,,1.7410333333333334,min
Min cumulative merge throttle time across primary shards,,0.3282166666666667,min
Median cumulative merge throttle time across primary shards,,0.37751666666666667,min
Max cumulative merge throttle time across primary shards,,1.0353,min
Cumulative refresh time of primary shards,,0.39585000000000004,min
Cumulative refresh count of primary shards,,54,
Min cumulative refresh time across primary shards,,0.08763333333333333,min
Median cumulative refresh time across primary shards,,0.12866666666666665,min
Max cumulative refresh time across primary shards,,0.17955,min
Cumulative flush time of primary shards,,0.4276666666666667,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.07168333333333334,min
Median cumulative flush time across primary shards,,0.07823333333333334,min
Max cumulative flush time across primary shards,,0.27775,min
Total Young Gen GC time,,1.956,s
Total Young Gen GC count,,137,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.751499298028648,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,26,
error rate,index-append,0.00,%
Min Throughput,match-all,11463.24,ops/s
Mean Throughput,match-all,13761.60,ops/s
Median Throughput,match-all,14382.64,ops/s
Max Throughput,match-all,15000.63,ops/s
50th percentile latency,match-all,4105.3968724999095,ms
90th percentile latency,match-all,6915.3867224000805,ms
99th percentile latency,match-all,7385.2568233698075,ms
99.9th percentile latency,match-all,7485.769727562129,ms
99.99th percentile latency,match-all,7510.260124514444,ms
100th percentile latency,match-all,7516.073206000101,ms
50th percentile service time,match-all,1.3280839999652017,ms
90th percentile service time,match-all,6.309543499833124,ms
99th percentile service time,match-all,59.40481137988173,ms
99.9th percentile service time,match-all,81.3533335180588,ms
99.99th percentile service time,match-all,307.3536546030676,ms
100th percentile service time,match-all,555.6480019999981,ms
error rate,match-all,0.00,%
Min Throughput,term,12789.10,ops/s
Mean Throughput,term,13746.59,ops/s
Median Throughput,term,13925.41,ops/s
Max Throughput,term,14667.25,ops/s
50th percentile latency,term,4280.704619499943,ms
90th percentile latency,term,6861.008181000079,ms
99th percentile latency,term,7297.908290400005,ms
99.9th percentile latency,term,7391.72254640497,ms
99.99th percentile latency,term,7416.131731266812,ms
100th percentile latency,term,7420.253023000214,ms
50th percentile service time,term,1.3354984999978115,ms
90th percentile service time,term,4.032443600021905,ms
99th percentile service time,term,60.03114372998654,ms
99.9th percentile service time,term,81.35193815003083,ms
99.99th percentile service time,term,165.53594085580224,ms
100th percentile service time,term,270.22598900020967,ms
error rate,term,0.00,%
Min Throughput,phrase,12679.20,ops/s
Mean Throughput,phrase,14174.39,ops/s
Median Throughput,phrase,14386.97,ops/s
Max Throughput,phrase,15225.01,ops/s
50th percentile latency,phrase,4044.6263329999965,ms
90th percentile latency,phrase,6815.008910199867,ms
99th percentile latency,phrase,7219.715105240173,ms
99.9th percentile latency,phrase,7313.860089035168,ms
99.99th percentile latency,phrase,7340.012496890492,ms
100th percentile latency,phrase,7345.978909999985,ms
50th percentile service time,phrase,1.2713424998764822,ms
90th percentile service time,phrase,2.3783185998581757,ms
99th percentile service time,phrase,63.55439125986779,ms
99.9th percentile service time,phrase,86.75959915019874,ms
99.99th percentile service time,phrase,107.52350617811105,ms
100th percentile service time,phrase,176.65921999991951,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,263.00,ops/s
Mean Throughput,country_agg_uncached,265.75,ops/s
Median Throughput,country_agg_uncached,266.03,ops/s
Max Throughput,country_agg_uncached,267.57,ops/s
50th percentile latency,country_agg_uncached,59064.56269349997,ms
90th percentile latency,country_agg_uncached,68327.71328759992,ms
99th percentile latency,country_agg_uncached,70340.39303911017,ms
99.9th percentile latency,country_agg_uncached,70684.95294604814,ms
100th percentile latency,country_agg_uncached,70822.03815800017,ms
50th percentile service time,country_agg_uncached,213.95836450005845,ms
90th percentile service time,country_agg_uncached,302.84499579993286,ms
99th percentile service time,country_agg_uncached,400.0199921200329,ms
99.9th percentile service time,country_agg_uncached,461.75592342794334,ms
100th percentile service time,country_agg_uncached,519.579130000011,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1766.52,pages/s
Mean Throughput,scroll,1801.91,pages/s
Median Throughput,scroll,1800.85,pages/s
Max Throughput,scroll,1831.80,pages/s
50th percentile latency,scroll,222354.43743049994,ms
90th percentile latency,scroll,260161.6834352,ms
99th percentile latency,scroll,268341.3239515799,ms
99.9th percentile latency,scroll,269267.77335917007,ms
100th percentile latency,scroll,269754.75777700014,ms
50th percentile service time,scroll,884.4834985000034,ms
90th percentile service time,scroll,1086.5774733000535,ms
99th percentile service time,scroll,1354.884642880072,ms
99.9th percentile service time,scroll,1526.5727959679793,ms
100th percentile service time,scroll,1693.8037840000106,ms
error rate,scroll,0.00,%
