Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.131533333333334,min
Min cumulative indexing time across primary shards,,2.600983333333333,min
Median cumulative indexing time across primary shards,,2.6382166666666667,min
Max cumulative indexing time across primary shards,,2.892333333333333,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7445666666666666,min
Cumulative merge count of primary shards,,76,
Min cumulative merge time across primary shards,,1.20485,min
Median cumulative merge time across primary shards,,1.2207333333333332,min
Max cumulative merge time across primary shards,,1.3189833333333332,min
Cumulative merge throttle time of primary shards,,1.0549333333333333,min
Min cumulative merge throttle time across primary shards,,0.29095,min
Median cumulative merge throttle time across primary shards,,0.35075,min
Max cumulative merge throttle time across primary shards,,0.41323333333333334,min
Cumulative refresh time of primary shards,,0.5284,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.15413333333333332,min
Median cumulative refresh time across primary shards,,0.1666,min
Max cumulative refresh time across primary shards,,0.2076666666666667,min
Cumulative flush time of primary shards,,0.3626,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09443333333333334,min
Median cumulative flush time across primary shards,,0.11335,min
Max cumulative flush time across primary shards,,0.15481666666666666,min
Total Young Gen GC time,,1.812,s
Total Young Gen GC count,,135,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.66564623452723,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,match-all,15830.47,ops/s
Mean Throughput,match-all,17627.67,ops/s
Median Throughput,match-all,18076.16,ops/s
Max Throughput,match-all,18610.88,ops/s
50th percentile latency,match-all,3280.8837480000648,ms
90th percentile latency,match-all,4611.978327899897,ms
99th percentile latency,match-all,6324.113726550067,ms
99.9th percentile latency,match-all,6553.113458569973,ms
99.99th percentile latency,match-all,6583.126226912581,ms
100th percentile latency,match-all,6592.44964100003,ms
50th percentile service time,match-all,1.4539584999511135,ms
90th percentile service time,match-all,1.826323499949467,ms
99th percentile service time,match-all,49.69808721004029,ms
99.9th percentile service time,match-all,96.2095861048336,ms
99.99th percentile service time,match-all,182.43072318168936,ms
100th percentile service time,match-all,378.3207230001153,ms
error rate,match-all,0.00,%
Min Throughput,term,16166.42,ops/s
Mean Throughput,term,17305.43,ops/s
Median Throughput,term,17484.45,ops/s
Max Throughput,term,18086.40,ops/s
50th percentile latency,term,3138.207138499979,ms
90th percentile latency,term,4377.535847099944,ms
99th percentile latency,term,4747.317517779961,ms
99.9th percentile latency,term,4885.1004599379785,ms
99.99th percentile latency,term,4987.7801875955765,ms
100th percentile latency,term,4997.218218000171,ms
50th percentile service time,term,1.498050999998668,ms
90th percentile service time,term,1.8821002999175107,ms
99th percentile service time,term,47.84682447995694,ms
99.9th percentile service time,term,50.61457195599615,ms
99.99th percentile service time,term,55.964197424419794,ms
100th percentile service time,term,170.63905999998497,ms
error rate,term,0.00,%
Min Throughput,phrase,18540.36,ops/s
Mean Throughput,phrase,18930.79,ops/s
Median Throughput,phrase,18955.06,ops/s
Max Throughput,phrase,19272.70,ops/s
50th percentile latency,phrase,3178.28957349991,ms
90th percentile latency,phrase,4409.3747844001655,ms
99th percentile latency,phrase,4734.532146460051,ms
99.9th percentile latency,phrase,4811.6787448490995,ms
99.99th percentile latency,phrase,4856.0517115392995,ms
100th percentile latency,phrase,4866.364248000082,ms
50th percentile service time,phrase,1.792107000028409,ms
90th percentile service time,phrase,2.210803400066652,ms
99th percentile service time,phrase,37.67006431995014,ms
99.9th percentile service time,phrase,40.2105153510045,ms
99.99th percentile service time,phrase,46.197043355896646,ms
100th percentile service time,phrase,51.57015899999351,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,161.61,ops/s
Mean Throughput,country_agg_uncached,162.04,ops/s
Median Throughput,country_agg_uncached,162.06,ops/s
Max Throughput,country_agg_uncached,162.34,ops/s
50th percentile latency,country_agg_uncached,98264.865471,ms
90th percentile latency,country_agg_uncached,113850.16912939992,ms
99th percentile latency,country_agg_uncached,117250.52976996021,ms
99.9th percentile latency,country_agg_uncached,117605.47175933118,ms
100th percentile latency,country_agg_uncached,117697.12960600009,ms
50th percentile service time,country_agg_uncached,376.41778500005785,ms
90th percentile service time,country_agg_uncached,473.39759399992545,ms
99th percentile service time,country_agg_uncached,545.6253075299402,ms
99.9th percentile service time,country_agg_uncached,599.955739822994,ms
100th percentile service time,country_agg_uncached,690.8345460001328,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2339.66,pages/s
Mean Throughput,scroll,2341.51,pages/s
Median Throughput,scroll,2341.42,pages/s
Max Throughput,scroll,2344.17,pages/s
50th percentile latency,scroll,170895.83416850006,ms
90th percentile latency,scroll,198013.49328109997,ms
99th percentile latency,scroll,203621.93139937,ms
99.9th percentile latency,scroll,204919.94162849904,ms
100th percentile latency,scroll,205348.6156790002,ms
50th percentile service time,scroll,634.7218520000979,ms
90th percentile service time,scroll,727.6426682999954,ms
99th percentile service time,scroll,887.1517386300027,ms
99.9th percentile service time,scroll,973.5797198880476,ms
100th percentile service time,scroll,997.8825299999698,ms
error rate,scroll,0.00,%
