Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.1991,min
Min cumulative indexing time across primary shards,,2.6735666666666664,min
Median cumulative indexing time across primary shards,,2.7166833333333336,min
Max cumulative indexing time across primary shards,,2.80885,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.6296833333333334,min
Cumulative merge count of primary shards,,73,
Min cumulative merge time across primary shards,,1.1536333333333333,min
Median cumulative merge time across primary shards,,1.1876666666666666,min
Max cumulative merge time across primary shards,,1.2883833333333332,min
Cumulative merge throttle time of primary shards,,1.77035,min
Min cumulative merge throttle time across primary shards,,0.4114833333333333,min
Median cumulative merge throttle time across primary shards,,0.594,min
Max cumulative merge throttle time across primary shards,,0.7648666666666667,min
Cumulative refresh time of primary shards,,0.52645,min
Cumulative refresh count of primary shards,,56,
Min cumulative refresh time across primary shards,,0.14814999999999998,min
Median cumulative refresh time across primary shards,,0.1532,min
Max cumulative refresh time across primary shards,,0.2251,min
Cumulative flush time of primary shards,,0.44085,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.09351666666666666,min
Median cumulative flush time across primary shards,,0.14286666666666664,min
Max cumulative flush time across primary shards,,0.20446666666666669,min
Total Young Gen GC time,,2.179,s
Total Young Gen GC count,,134,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.809196633286774,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,34,
error rate,index-append,0.00,%
Min Throughput,match-all,15638.48,ops/s
Mean Throughput,match-all,17328.26,ops/s
Median Throughput,match-all,17918.64,ops/s
Max Throughput,match-all,18296.19,ops/s
50th percentile latency,match-all,3373.8233510000555,ms
90th percentile latency,match-all,4657.560479000176,ms
99th percentile latency,match-all,6548.245954060197,ms
99.9th percentile latency,match-all,6604.607508010094,ms
99.99th percentile latency,match-all,6630.869331510111,ms
100th percentile latency,match-all,6635.804786000108,ms
50th percentile service time,match-all,0.9392524999611851,ms
90th percentile service time,match-all,1.323764199901234,ms
99th percentile service time,match-all,65.22918500005973,ms
99.9th percentile service time,match-all,98.63606658594746,ms
99.99th percentile service time,match-all,190.02561037773557,ms
100th percentile service time,match-all,464.91370800004006,ms
error rate,match-all,0.00,%
Min Throughput,term,13678.50,ops/s
Mean Throughput,term,15857.20,ops/s
Median Throughput,term,15999.02,ops/s
Max Throughput,term,17624.50,ops/s
50th percentile latency,term,3241.213546499921,ms
90th percentile latency,term,4428.575282099905,ms
99th percentile latency,term,4818.57351323004,ms
99.9th percentile latency,term,5784.894539737903,ms
99.99th percentile latency,term,5838.433063489009,ms
100th percentile latency,term,5845.317768999848,ms
50th percentile service time,term,1.0236590001113655,ms
90th percentile service time,term,1.4439804000176082,ms
99th percentile service time,term,59.52846875011346,ms
99.9th percentile service time,term,75.99183732807403,ms
99.99th percentile service time,term,97.36119380314526,ms
100th percentile service time,term,120.28060800003004,ms
error rate,term,0.00,%
Min Throughput,phrase,15841.78,ops/s
Mean Throughput,phrase,18190.99,ops/s
Median Throughput,phrase,18921.62,ops/s
Max Throughput,phrase,19075.32,ops/s
50th percentile latency,phrase,3181.450555499964,ms
90th percentile latency,phrase,4531.469319700045,ms
99th percentile latency,phrase,4795.432525169992,ms
99.9th percentile latency,phrase,4983.165333923146,ms
99.99th percentile latency,phrase,5941.447222712909,ms
100th percentile latency,phrase,6016.636644000073,ms
50th percentile service time,phrase,1.0573855000757248,ms
90th percentile service time,phrase,1.41892600004212,ms
99th percentile service time,phrase,59.64619538991428,ms
99.9th percentile service time,phrase,62.00854071983607,ms
99.99th percentile service time,phrase,93.5575106383137,ms
100th percentile service time,phrase,99.7611699999652,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,253.01,ops/s
Mean Throughput,country_agg_uncached,255.07,ops/s
Median Throughput,country_agg_uncached,255.21,ops/s
Max Throughput,country_agg_uncached,256.54,ops/s
50th percentile latency,country_agg_uncached,61721.41040550002,ms
90th percentile latency,country_agg_uncached,71423.23024649995,ms
99th percentile latency,country_agg_uncached,73521.21420442985,ms
99.9th percentile latency,country_agg_uncached,73817.623803018,ms
100th percentile latency,country_agg_uncached,73949.75797400002,ms
50th percentile service time,country_agg_uncached,218.92672199999197,ms
90th percentile service time,country_agg_uncached,329.7906508001006,ms
99th percentile service time,country_agg_uncached,406.1099500300248,ms
99.9th percentile service time,country_agg_uncached,459.7036559960341,ms
100th percentile service time,country_agg_uncached,513.8381310000568,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2223.16,pages/s
Mean Throughput,scroll,2238.08,pages/s
Median Throughput,scroll,2238.42,pages/s
Max Throughput,scroll,2240.53,pages/s
50th percentile latency,scroll,178411.1219225,ms
90th percentile latency,scroll,207126.02959210004,ms
99th percentile latency,scroll,213086.34874438005,ms
99.9th percentile latency,scroll,213882.92191107612,ms
100th percentile latency,scroll,214287.27463300014,ms
50th percentile service time,scroll,692.4537595000402,ms
90th percentile service time,scroll,795.7137823000949,ms
99th percentile service time,scroll,996.655239759973,ms
99.9th percentile service time,scroll,1083.1774495311438,ms
100th percentile service time,scroll,1097.745014000111,ms
error rate,scroll,0.00,%
