Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.07675,min
Min cumulative indexing time across primary shards,,2.6514499999999996,min
Median cumulative indexing time across primary shards,,2.6905,min
Max cumulative indexing time across primary shards,,2.7348,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.7703833333333336,min
Cumulative merge count of primary shards,,49,
Min cumulative merge time across primary shards,,1.2062833333333332,min
Median cumulative merge time across primary shards,,1.2779500000000001,min
Max cumulative merge time across primary shards,,1.28615,min
Cumulative merge throttle time of primary shards,,1.7236333333333334,min
Min cumulative merge throttle time across primary shards,,0.33094999999999997,min
Median cumulative merge throttle time across primary shards,,0.60525,min
Max cumulative merge throttle time across primary shards,,0.7874333333333333,min
Cumulative refresh time of primary shards,,0.5120833333333333,min
Cumulative refresh count of primary shards,,47,
Min cumulative refresh time across primary shards,,0.15963333333333332,min
Median cumulative refresh time across primary shards,,0.17591666666666667,min
Max cumulative refresh time across primary shards,,0.17653333333333335,min
Cumulative flush time of primary shards,,0.5741166666666667,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.1284,min
Median cumulative flush time across primary shards,,0.19808333333333333,min
Max cumulative flush time across primary shards,,0.24763333333333334,min
Total Young Gen GC time,,1.617,s
Total Young Gen GC count,,134,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.6920973071828485,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,33,
error rate,index-append,0.00,%
Min Throughput,match-all,15733.61,ops/s
Mean Throughput,match-all,17550.39,ops/s
Median Throughput,match-all,18014.75,ops/s
Max Throughput,match-all,18471.26,ops/s
50th percentile latency,match-all,3311.0797229999207,ms
90th percentile latency,match-all,4654.5218849001,ms
99th percentile latency,match-all,6373.3273644199835,ms
99.9th percentile latency,match-all,6508.438625995823,ms
99.99th percentile latency,match-all,6550.080888696019,ms
100th percentile latency,match-all,6558.000314000083,ms
50th percentile service time,match-all,1.2784735000650471,ms
90th percentile service time,match-all,1.7086681998534914,ms
99th percentile service time,match-all,55.59737983005562,ms
99.9th percentile service time,match-all,98.29506724984428,ms
99.99th percentile service time,match-all,180.96654671998448,ms
100th percentile service time,match-all,189.26386299995102,ms
error rate,match-all,0.00,%
Min Throughput,term,16248.29,ops/s
Mean Throughput,term,17493.82,ops/s
Median Throughput,term,17688.56,ops/s
Max Throughput,term,18349.86,ops/s
50th percentile latency,term,3175.5315484999755,ms
90th percentile latency,term,4385.806219499955,ms
99th percentile latency,term,4765.85758600997,ms
99.9th percentile latency,term,4860.218655733904,ms
99.99th percentile latency,term,4891.902170361825,ms
100th percentile latency,term,4900.80097200007,ms
50th percentile service time,term,1.3673959999778162,ms
90th percentile service time,term,1.8043696999711756,ms
99th percentile service time,term,51.14039391003189,ms
99.9th percentile service time,term,52.79909910899735,ms
99.99th percentile service time,term,54.470567693487276,ms
100th percentile service time,term,65.08489999987432,ms
error rate,term,0.00,%
Min Throughput,phrase,15945.90,ops/s
Mean Throughput,phrase,17961.56,ops/s
Median Throughput,phrase,18503.59,ops/s
Max Throughput,phrase,18895.91,ops/s
50th percentile latency,phrase,3198.8588364998805,ms
90th percentile latency,phrase,4492.959168599896,ms
99th percentile latency,phrase,4805.434922000061,ms
99.9th percentile latency,phrase,5656.244438104969,ms
99.99th percentile latency,phrase,5837.0702153630455,ms
100th percentile latency,phrase,5846.471758999996,ms
50th percentile service time,phrase,1.6069230000539392,ms
90th percentile service time,phrase,2.019292199975098,ms
99th percentile service time,phrase,44.111106619809576,ms
99.9th percentile service time,phrase,47.060256370164566,ms
99.99th percentile service time,phrase,94.03699566502583,ms
100th percentile service time,phrase,104.96899500003565,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,169.91,ops/s
Mean Throughput,country_agg_uncached,170.34,ops/s
Median Throughput,country_agg_uncached,170.36,ops/s
Max Throughput,country_agg_uncached,170.64,ops/s
50th percentile latency,country_agg_uncached,93501.3173100001,ms
90th percentile latency,country_agg_uncached,108408.11195689987,ms
99th percentile latency,country_agg_uncached,111601.33314294013,ms
99.9th percentile latency,country_agg_uncached,112112.7136373532,ms
100th percentile latency,country_agg_uncached,112283.99379500025,ms
50th percentile service time,country_agg_uncached,355.7552030000579,ms
90th percentile service time,country_agg_uncached,474.10502959999127,ms
99th percentile service time,country_agg_uncached,539.7089456499407,ms
99.9th percentile service time,country_agg_uncached,590.125561021976,ms
100th percentile service time,country_agg_uncached,768.4246730000268,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2298.33,pages/s
Mean Throughput,scroll,2323.59,pages/s
Median Throughput,scroll,2323.99,pages/s
Max Throughput,scroll,2327.09,pages/s
50th percentile latency,scroll,171939.590278,ms
90th percentile latency,scroll,199247.43517900008,ms
99th percentile latency,scroll,204949.29261749005,ms
99.9th percentile latency,scroll,205758.08238774005,ms
100th percentile latency,scroll,206176.3283580001,ms
50th percentile service time,scroll,669.575516000009,ms
90th percentile service time,scroll,779.4903765000527,ms
99th percentile service time,scroll,899.3166093100127,ms
99.9th percentile service time,scroll,999.8260355169884,ms
100th percentile service time,scroll,1079.9507440001435,ms
error rate,scroll,0.00,%
