Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.435616666666666,min
Min cumulative indexing time across primary shards,,3.0835500000000002,min
Median cumulative indexing time across primary shards,,3.097383333333333,min
Max cumulative indexing time across primary shards,,3.2546833333333334,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.701416666666667,min
Cumulative merge count of primary shards,,70,
Min cumulative merge time across primary shards,,0.9448166666666666,min
Median cumulative merge time across primary shards,,1.2307166666666667,min
Max cumulative merge time across primary shards,,1.5258833333333333,min
Cumulative merge throttle time of primary shards,,1.0155333333333334,min
Min cumulative merge throttle time across primary shards,,0.14476666666666665,min
Median cumulative merge throttle time across primary shards,,0.34263333333333335,min
Max cumulative merge throttle time across primary shards,,0.5281333333333333,min
Cumulative refresh time of primary shards,,0.6356166666666667,min
Cumulative refresh count of primary shards,,48,
Min cumulative refresh time across primary shards,,0.1315,min
Median cumulative refresh time across primary shards,,0.24206666666666665,min
Max cumulative refresh time across primary shards,,0.26205,min
Cumulative flush time of primary shards,,0.40263333333333334,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.11131666666666667,min
Median cumulative flush time across primary shards,,0.12415,min
Max cumulative flush time across primary shards,,0.16716666666666666,min
Total Young Gen GC time,,2.556,s
Total Young Gen GC count,,136,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.734519708901644,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,35,
error rate,index-append,0.00,%
Min Throughput,match-all,1111.00,ops/s
Mean Throughput,match-all,5614.84,ops/s
Median Throughput,match-all,1181.01,ops/s
Max Throughput,match-all,15380.99,ops/s
50th percentile latency,match-all,3480.0307679998923,ms
90th percentile latency,match-all,4767.229632099975,ms
99th percentile latency,match-all,6778.466485410013,ms
99.9th percentile latency,match-all,6878.870465528118,ms
99.99th percentile latency,match-all,6958.544287198229,ms
100th percentile latency,match-all,6980.364149000025,ms
50th percentile service time,match-all,1.303961000076015,ms
90th percentile service time,match-all,1.7737872999532553,ms
99th percentile service time,match-all,62.730858050163135,ms
99.9th percentile service time,match-all,104.81595085411256,ms
99.99th percentile service time,match-all,229.09193144304493,ms
100th percentile service time,match-all,317.7324729999782,ms
error rate,match-all,0.00,%
Min Throughput,term,4986.00,ops/s
Mean Throughput,term,13028.66,ops/s
Median Throughput,term,14124.93,ops/s
Max Throughput,term,15820.95,ops/s
50th percentile latency,term,3331.624692499986,ms
90th percentile latency,term,4576.044803300033,ms
99th percentile latency,term,5964.171625130095,ms
99.9th percentile latency,term,6169.883300455091,ms
99.99th percentile latency,term,6227.308726143173,ms
100th percentile latency,term,6245.706411000128,ms
50th percentile service time,term,1.3170639999771083,ms
90th percentile service time,term,1.7597763999674498,ms
99th percentile service time,term,53.10707910990232,ms
99.9th percentile service time,term,89.70638059004347,ms
99.99th percentile service time,term,104.97257934114303,ms
100th percentile service time,term,202.03822799999216,ms
error rate,term,0.00,%
Min Throughput,phrase,15809.42,ops/s
Mean Throughput,phrase,16923.42,ops/s
Median Throughput,phrase,17125.27,ops/s
Max Throughput,phrase,18094.95,ops/s
50th percentile latency,phrase,3257.53356849998,ms
90th percentile latency,phrase,4521.688031099984,ms
99th percentile latency,phrase,5565.111575019821,ms
99.9th percentile latency,phrase,5806.822550049946,ms
99.99th percentile latency,phrase,5928.198656161465,ms
100th percentile latency,phrase,5952.101307000021,ms
50th percentile service time,phrase,1.5181014999825493,ms
90th percentile service time,phrase,1.9818197999029508,ms
99th percentile service time,phrase,47.564426930100595,ms
99.9th percentile service time,phrase,73.5469816040639,ms
99.99th percentile service time,phrase,94.51832515052548,ms
100th percentile service time,phrase,102.93617899992569,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,132.88,ops/s
Mean Throughput,country_agg_uncached,133.49,ops/s
Median Throughput,country_agg_uncached,133.53,ops/s
Max Throughput,country_agg_uncached,133.91,ops/s
50th percentile latency,country_agg_uncached,118625.80070599983,ms
90th percentile latency,country_agg_uncached,137459.71274240012,ms
99th percentile latency,country_agg_uncached,141623.81092743008,ms
99.9th percentile latency,country_agg_uncached,141945.38226485517,ms
100th percentile latency,country_agg_uncached,142095.4374420003,ms
50th percentile service time,country_agg_uncached,465.04503549999754,ms
90th percentile service time,country_agg_uncached,529.5243645000937,ms
99th percentile service time,country_agg_uncached,591.1175410098896,ms
99.9th percentile service time,country_agg_uncached,686.6087832169829,ms
100th percentile service time,country_agg_uncached,827.0099290000417,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2062.31,pages/s
Mean Throughput,scroll,2081.63,pages/s
Median Throughput,scroll,2083.14,pages/s
Max Throughput,scroll,2095.71,pages/s
50th percentile latency,scroll,191571.28802799992,ms
90th percentile latency,scroll,221651.66083580002,ms
99th percentile latency,scroll,227439.64551580002,ms
99.9th percentile latency,scroll,228760.54657165805,ms
100th percentile latency,scroll,229325.86838499992,ms
50th percentile service time,scroll,706.9941144999348,ms
90th percentile service time,scroll,821.7401572000881,ms
99th percentile service time,scroll,1015.0265367700445,ms
99.9th percentile service time,scroll,1099.9124893119272,ms
100th percentile service time,scroll,1190.2484779998304,ms
error rate,scroll,0.00,%
