Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.95895,min
Min cumulative indexing time across primary shards,,2.94485,min
Median cumulative indexing time across primary shards,,2.973,min
Max cumulative indexing time across primary shards,,3.0411,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,4.152433333333333,min
Cumulative merge count of primary shards,,62,
Min cumulative merge time across primary shards,,1.0889833333333334,min
Median cumulative merge time across primary shards,,1.5031,min
Max cumulative merge time across primary shards,,1.56035,min
Cumulative merge throttle time of primary shards,,1.3027333333333333,min
Min cumulative merge throttle time across primary shards,,0.20054999999999998,min
Median cumulative merge throttle time across primary shards,,0.47983333333333333,min
Max cumulative merge throttle time across primary shards,,0.6223500000000001,min
Cumulative refresh time of primary shards,,0.52215,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.08515,min
Median cumulative refresh time across primary shards,,0.18825,min
Max cumulative refresh time across primary shards,,0.24875,min
Cumulative flush time of primary shards,,0.43528333333333336,min
Cumulative flush count of primary shards,,10,
Min cumulative flush time across primary shards,,0.07561666666666667,min
Median cumulative flush time across primary shards,,0.12595,min
Max cumulative flush time across primary shards,,0.23371666666666666,min
Total Young Gen GC time,,2.517,s
Total Young Gen GC count,,143,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.669576521962881,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,39,
error rate,index-append,0.00,%
Min Throughput,match-all,513.31,ops/s
Mean Throughput,match-all,5150.69,ops/s
Median Throughput,match-all,577.87,ops/s
Max Throughput,match-all,15292.58,ops/s
50th percentile latency,match-all,3519.4471970000905,ms
90th percentile latency,match-all,4828.906856299727,ms
99th percentile latency,match-all,6953.119305289818,ms
99.9th percentile latency,match-all,7088.299729444838,ms
99.99th percentile latency,match-all,7158.31104675329,ms
100th percentile latency,match-all,7173.734147999994,ms
50th percentile service time,match-all,1.3743379998913952,ms
90th percentile service time,match-all,1.9538682001211782,ms
99th percentile service time,match-all,84.3609137701606,ms
99.9th percentile service time,match-all,101.31408915300239,ms
99.99th percentile service time,match-all,318.324577311022,ms
100th percentile service time,match-all,502.42446799984464,ms
error rate,match-all,0.00,%
Min Throughput,term,13629.99,ops/s
Mean Throughput,term,16759.43,ops/s
Median Throughput,term,17755.83,ops/s
Max Throughput,term,18326.58,ops/s
50th percentile latency,term,3431.0980340000015,ms
90th percentile latency,term,4887.298939199968,ms
99th percentile latency,term,6872.206704800067,ms
99.9th percentile latency,term,7048.046974852098,ms
99.99th percentile latency,term,7152.686761468442,ms
100th percentile latency,term,7176.683713000102,ms
50th percentile service time,term,1.3745100000051025,ms
90th percentile service time,term,1.965856500078189,ms
99th percentile service time,term,84.15243390988282,ms
99.9th percentile service time,term,103.36991536408034,ms
99.99th percentile service time,term,162.56035376963368,ms
100th percentile service time,term,222.64523200010444,ms
error rate,term,0.00,%
Min Throughput,phrase,13418.93,ops/s
Mean Throughput,phrase,15765.85,ops/s
Median Throughput,phrase,15858.88,ops/s
Max Throughput,phrase,17263.00,ops/s
50th percentile latency,phrase,3433.0627299999605,ms
90th percentile latency,phrase,4779.32723189997,ms
99th percentile latency,phrase,6708.58754223013,ms
99.9th percentile latency,phrase,6802.1019075950835,ms
99.99th percentile latency,phrase,6841.653501155954,ms
100th percentile latency,phrase,6856.153703000018,ms
50th percentile service time,phrase,1.6682420000506681,ms
90th percentile service time,phrase,2.1695174000797124,ms
99th percentile service time,phrase,77.30426018992381,ms
99.9th percentile service time,phrase,100.64029082300311,ms
99.99th percentile service time,phrase,184.7825977639181,ms
100th percentile service time,phrase,190.8704940001371,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,138.27,ops/s
Mean Throughput,country_agg_uncached,138.52,ops/s
Median Throughput,country_agg_uncached,138.54,ops/s
Max Throughput,country_agg_uncached,138.69,ops/s
50th percentile latency,country_agg_uncached,114954.3724765,ms
90th percentile latency,country_agg_uncached,133323.96795780002,ms
99th percentile latency,country_agg_uncached,137238.92215511983,ms
99.9th percentile latency,country_agg_uncached,137795.29336493302,ms
100th percentile latency,country_agg_uncached,138281.403684,ms
50th percentile service time,country_agg_uncached,449.69221700011985,ms
90th percentile service time,country_agg_uncached,565.0247083999603,ms
99th percentile service time,country_agg_uncached,664.8433980698928,ms
99.9th percentile service time,country_agg_uncached,746.5084281118758,ms
100th percentile service time,country_agg_uncached,881.7441650001001,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1677.72,pages/s
Mean Throughput,scroll,1697.69,pages/s
Median Throughput,scroll,1691.43,pages/s
Max Throughput,scroll,1741.88,pages/s
50th percentile latency,scroll,235553.74129200005,ms
90th percentile latency,scroll,267842.7575973,ms
99th percentile latency,scroll,273984.83330637,ms
99.9th percentile latency,scroll,274813.424987598,ms
100th percentile latency,scroll,275300.1155100003,ms
50th percentile service time,scroll,808.7505114999658,ms
90th percentile service time,scroll,993.1548727000745,ms
99th percentile service time,scroll,1199.748848260024,ms
99.9th percentile service time,scroll,1369.3077043300746,ms
100th percentile service time,scroll,1411.563607999824,ms
error rate,scroll,0.00,%
