Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,9.358766666666666,min
Min cumulative indexing time across primary shards,,3.0388666666666664,min
Median cumulative indexing time across primary shards,,3.101783333333333,min
Max cumulative indexing time across primary shards,,3.2181166666666665,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.5538499999999997,min
Cumulative merge count of primary shards,,73,
Min cumulative merge time across primary shards,,1.1318166666666667,min
Median cumulative merge time across primary shards,,1.1753333333333333,min
Max cumulative merge time across primary shards,,1.2467000000000001,min
Cumulative merge throttle time of primary shards,,0.9033333333333334,min
Min cumulative merge throttle time across primary shards,,0.2554666666666667,min
Median cumulative merge throttle time across primary shards,,0.3176,min
Max cumulative merge throttle time across primary shards,,0.33026666666666665,min
Cumulative refresh time of primary shards,,0.61885,min
Cumulative refresh count of primary shards,,51,
Min cumulative refresh time across primary shards,,0.16713333333333333,min
Median cumulative refresh time across primary shards,,0.21464999999999998,min
Max cumulative refresh time across primary shards,,0.23706666666666668,min
Cumulative flush time of primary shards,,0.32933333333333337,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09843333333333333,min
Median cumulative flush time across primary shards,,0.10678333333333333,min
Max cumulative flush time across primary shards,,0.12411666666666667,min
Total Young Gen GC time,,2.69,s
Total Young Gen GC count,,135,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.724734456278384,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,39,
error rate,index-append,0.00,%
Min Throughput,match-all,13700.97,ops/s
Mean Throughput,match-all,16486.13,ops/s
Median Throughput,match-all,16831.18,ops/s
Max Throughput,match-all,18068.66,ops/s
50th percentile latency,match-all,3385.631197000066,ms
90th percentile latency,match-all,4741.5050376002,ms
99th percentile latency,match-all,6664.168926460011,ms
99.9th percentile latency,match-all,6819.235469877907,ms
99.99th percentile latency,match-all,6903.0503315858505,ms
100th percentile latency,match-all,6915.807261999817,ms
50th percentile service time,match-all,1.3526340001135395,ms
90th percentile service time,match-all,1.8618827999944187,ms
99th percentile service time,match-all,72.38669986988968,ms
99.9th percentile service time,match-all,105.02464686704211,ms
99.99th percentile service time,match-all,211.60979711061572,ms
100th percentile service time,match-all,303.8914769999792,ms
error rate,match-all,0.00,%
Min Throughput,term,13707.27,ops/s
Mean Throughput,term,16815.77,ops/s
Median Throughput,term,17307.67,ops/s
Max Throughput,term,18555.02,ops/s
50th percentile latency,term,3324.8888364998948,ms
90th percentile latency,term,4603.218089300526,ms
99th percentile latency,term,6212.868334729851,ms
99.9th percentile latency,term,6544.667083817879,ms
99.99th percentile latency,term,6713.85543473064,ms
100th percentile latency,term,6734.087602999807,ms
50th percentile service time,term,1.3373439999213588,ms
90th percentile service time,term,1.8741527999281968,ms
99th percentile service time,term,52.014987869642944,ms
99.9th percentile service time,term,94.62814355694637,ms
99.99th percentile service time,term,111.09038125385675,ms
100th percentile service time,term,116.24008900025729,ms
error rate,term,0.00,%
Min Throughput,phrase,15454.67,ops/s
Mean Throughput,phrase,16808.74,ops/s
Median Throughput,phrase,16937.19,ops/s
Max Throughput,phrase,17988.50,ops/s
50th percentile latency,phrase,3202.84118450013,ms
90th percentile latency,phrase,4494.654472700267,ms
99th percentile latency,phrase,5128.921239790053,ms
99.9th percentile latency,phrase,5415.48076631331,ms
99.99th percentile latency,phrase,5628.897187908067,ms
100th percentile latency,phrase,5653.802156999973,ms
50th percentile service time,phrase,1.5873974996338802,ms
90th percentile service time,phrase,2.0348003002709447,ms
99th percentile service time,phrase,43.2479404596461,ms
99.9th percentile service time,phrase,57.50967450891313,ms
99.99th percentile service time,phrase,76.9453751968581,ms
100th percentile service time,phrase,93.64763999974457,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,140.00,ops/s
Mean Throughput,country_agg_uncached,140.50,ops/s
Median Throughput,country_agg_uncached,140.53,ops/s
Max Throughput,country_agg_uncached,140.85,ops/s
50th percentile latency,country_agg_uncached,113182.8226555001,ms
90th percentile latency,country_agg_uncached,131169.08162300015,ms
99th percentile latency,country_agg_uncached,135079.29300304956,ms
99.9th percentile latency,country_agg_uncached,135415.34839773295,ms
100th percentile latency,country_agg_uncached,135533.2074910002,ms
50th percentile service time,country_agg_uncached,437.31171150011505,ms
90th percentile service time,country_agg_uncached,530.9426540002733,ms
99th percentile service time,country_agg_uncached,592.3667025798704,ms
99.9th percentile service time,country_agg_uncached,640.9383269189764,ms
100th percentile service time,country_agg_uncached,707.7104730001338,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2351.66,pages/s
Mean Throughput,scroll,2354.58,pages/s
Median Throughput,scroll,2354.62,pages/s
Max Throughput,scroll,2355.96,pages/s
50th percentile latency,scroll,169819.74950599967,ms
90th percentile latency,scroll,197011.37608430025,ms
99th percentile latency,scroll,202644.96412737964,ms
99.9th percentile latency,scroll,203241.71800914034,ms
100th percentile latency,scroll,203679.42992500003,ms
50th percentile service time,scroll,630.7360589999007,ms
90th percentile service time,scroll,726.3065342003756,ms
99th percentile service time,scroll,884.7740291299397,ms
99.9th percentile service time,scroll,949.6618994021763,ms
100th percentile service time,scroll,1002.2532599996339,ms
error rate,scroll,0.00,%
