Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.224,min
Min cumulative indexing time across primary shards,,2.5552333333333332,min
Median cumulative indexing time across primary shards,,2.7637666666666667,min
Max cumulative indexing time across primary shards,,2.9050000000000002,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.693033333333333,min
Cumulative merge count of primary shards,,68,
Min cumulative merge time across primary shards,,1.1196833333333334,min
Median cumulative merge time across primary shards,,1.1416833333333334,min
Max cumulative merge time across primary shards,,1.4316666666666669,min
Cumulative merge throttle time of primary shards,,0.8564666666666666,min
Min cumulative merge throttle time across primary shards,,0.2047,min
Median cumulative merge throttle time across primary shards,,0.28895,min
Max cumulative merge throttle time across primary shards,,0.3628166666666666,min
Cumulative refresh time of primary shards,,0.40848333333333336,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.12623333333333334,min
Median cumulative refresh time across primary shards,,0.13833333333333334,min
Max cumulative refresh time across primary shards,,0.14391666666666666,min
Cumulative flush time of primary shards,,0.42815,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.12433333333333334,min
Median cumulative flush time across primary shards,,0.151,min
Max cumulative flush time across primary shards,,0.15281666666666668,min
Total Young Gen GC time,,1.908,s
Total Young Gen GC count,,141,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.692794454284012,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,44,
error rate,index-append,0.00,%
Min Throughput,match-all,12990.71,ops/s
Mean Throughput,match-all,15400.23,ops/s
Median Throughput,match-all,15302.35,ops/s
Max Throughput,match-all,17245.15,ops/s
50th percentile latency,match-all,3656.702704000054,ms
90th percentile latency,match-all,6132.105692999925,ms
99th percentile latency,match-all,7209.105454470062,ms
99.9th percentile latency,match-all,7290.13689451896,ms
99.99th percentile latency,match-all,7317.4096046228815,ms
100th percentile latency,match-all,7324.693644000035,ms
50th percentile service time,match-all,1.3417805000699445,ms
90th percentile service time,match-all,1.9739000000299707,ms
99th percentile service time,match-all,85.71951261009417,ms
99.9th percentile service time,match-all,99.38802025103192,ms
99.99th percentile service time,match-all,319.0583274273762,ms
100th percentile service time,match-all,480.0593499999195,ms
error rate,match-all,0.00,%
Min Throughput,term,13187.63,ops/s
Mean Throughput,term,16225.43,ops/s
Median Throughput,term,16683.18,ops/s
Max Throughput,term,18053.94,ops/s
50th percentile latency,term,3561.175404000096,ms
90th percentile latency,term,4860.855652099963,ms
99th percentile latency,term,7132.630817840016,ms
99.9th percentile latency,term,7375.536339881039,ms
99.99th percentile latency,term,7404.087808505962,ms
100th percentile latency,term,7409.018681000134,ms
50th percentile service time,term,1.326214000073378,ms
90th percentile service time,term,1.837548499975128,ms
99th percentile service time,term,84.1352191998658,ms
99.9th percentile service time,term,98.67437964998918,ms
99.99th percentile service time,term,149.58638508158413,ms
100th percentile service time,term,185.9411089999412,ms
error rate,term,0.00,%
Min Throughput,phrase,11977.27,ops/s
Mean Throughput,phrase,14607.31,ops/s
Median Throughput,phrase,15067.29,ops/s
Max Throughput,phrase,16404.99,ops/s
50th percentile latency,phrase,3337.3451329998716,ms
90th percentile latency,phrase,4633.120910999878,ms
99th percentile latency,phrase,6275.3255927199325,ms
99.9th percentile latency,phrase,6498.57689881289,ms
99.99th percentile latency,phrase,6538.473122285863,ms
100th percentile latency,phrase,6544.415803999982,ms
50th percentile service time,phrase,1.5964589999839518,ms
90th percentile service time,phrase,2.081715799954509,ms
99th percentile service time,phrase,45.10396830992252,ms
99.9th percentile service time,phrase,93.85693303301815,ms
99.99th percentile service time,phrase,104.85508591164954,ms
100th percentile service time,phrase,191.3355930000762,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,160.89,ops/s
Mean Throughput,country_agg_uncached,161.49,ops/s
Median Throughput,country_agg_uncached,161.52,ops/s
Max Throughput,country_agg_uncached,161.94,ops/s
50th percentile latency,country_agg_uncached,98133.12644450003,ms
90th percentile latency,country_agg_uncached,113743.5768146001,ms
99th percentile latency,country_agg_uncached,117146.00414608995,ms
99.9th percentile latency,country_agg_uncached,117598.82271198605,ms
100th percentile latency,country_agg_uncached,117753.84933400006,ms
50th percentile service time,country_agg_uncached,380.73559949998526,ms
90th percentile service time,country_agg_uncached,458.0363605000002,ms
99th percentile service time,country_agg_uncached,516.4396403498951,ms
99.9th percentile service time,country_agg_uncached,583.5804679779535,ms
100th percentile service time,country_agg_uncached,661.4037140000164,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1665.78,pages/s
Mean Throughput,scroll,1674.87,pages/s
Median Throughput,scroll,1672.36,pages/s
Max Throughput,scroll,1690.16,pages/s
50th percentile latency,scroll,238973.4652095001,ms
90th percentile latency,scroll,275019.10719310003,ms
99th percentile latency,scroll,282390.32343083987,ms
99.9th percentile latency,scroll,283337.71622664516,ms
100th percentile latency,scroll,283940.0538240002,ms
50th percentile service time,scroll,873.5816364999209,ms
90th percentile service time,scroll,1038.8636297999028,ms
99th percentile service time,scroll,1259.4042206200452,ms
99.9th percentile service time,scroll,1417.5755130379446,ms
100th percentile service time,scroll,1580.746556999884,ms
error rate,scroll,0.00,%
