Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,7.977333333333333,min
Min cumulative indexing time across primary shards,,2.53795,min
Median cumulative indexing time across primary shards,,2.6709166666666664,min
Max cumulative indexing time across primary shards,,2.768466666666667,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.9497500000000003,min
Cumulative merge count of primary shards,,64,
Min cumulative merge time across primary shards,,1.0841500000000002,min
Median cumulative merge time across primary shards,,1.4027500000000002,min
Max cumulative merge time across primary shards,,1.46285,min
Cumulative merge throttle time of primary shards,,1.4654166666666666,min
Min cumulative merge throttle time across primary shards,,0.27856666666666663,min
Median cumulative merge throttle time across primary shards,,0.39105,min
Max cumulative merge throttle time across primary shards,,0.7958,min
Cumulative refresh time of primary shards,,0.4393,min
Cumulative refresh count of primary shards,,53,
Min cumulative refresh time across primary shards,,0.10959999999999999,min
Median cumulative refresh time across primary shards,,0.15148333333333333,min
Max cumulative refresh time across primary shards,,0.17821666666666666,min
Cumulative flush time of primary shards,,0.42624999999999996,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.09001666666666666,min
Median cumulative flush time across primary shards,,0.16581666666666667,min
Max cumulative flush time across primary shards,,0.17041666666666666,min
Total Young Gen GC time,,1.793,s
Total Young Gen GC count,,136,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.702494780533016,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,33,
error rate,index-append,0.00,%
Min Throughput,match-all,15807.68,ops/s
Mean Throughput,match-all,17564.00,ops/s
Median Throughput,match-all,17977.42,ops/s
Max Throughput,match-all,18484.19,ops/s
50th percentile latency,match-all,3330.166874000156,ms
90th percentile latency,match-all,4618.222188500135,ms
99th percentile latency,match-all,6413.547822920107,ms
99.9th percentile latency,match-all,6531.3026888529985,ms
99.99th percentile latency,match-all,6562.590260760198,ms
100th percentile latency,match-all,6569.145532999983,ms
50th percentile service time,match-all,1.2906435000559213,ms
90th percentile service time,match-all,1.6910690999566214,ms
99th percentile service time,match-all,54.913019730095144,ms
99.9th percentile service time,match-all,99.00359606308136,ms
99.99th percentile service time,match-all,183.137224549194,ms
100th percentile service time,match-all,320.3447829998822,ms
error rate,match-all,0.00,%
Min Throughput,term,15772.89,ops/s
Mean Throughput,term,17212.35,ops/s
Median Throughput,term,17481.55,ops/s
Max Throughput,term,18280.95,ops/s
50th percentile latency,term,3230.9868575000564,ms
90th percentile latency,term,4415.412204999848,ms
99th percentile latency,term,5530.677276019902,ms
99.9th percentile latency,term,5662.301888377029,ms
99.99th percentile latency,term,5697.7812125668315,ms
100th percentile latency,term,5702.244462999943,ms
50th percentile service time,term,1.317185000061727,ms
90th percentile service time,term,1.719949399853249,ms
99th percentile service time,term,53.3631876899017,ms
99.9th percentile service time,term,86.96603723194323,ms
99.99th percentile service time,term,101.03640264637988,ms
100th percentile service time,term,188.56154500008415,ms
error rate,term,0.00,%
Min Throughput,phrase,15961.24,ops/s
Mean Throughput,phrase,17349.98,ops/s
Median Throughput,phrase,17551.22,ops/s
Max Throughput,phrase,18336.26,ops/s
50th percentile latency,phrase,3154.325150499858,ms
90th percentile latency,phrase,4358.252448599956,ms
99th percentile latency,phrase,4657.044046799983,ms
99.9th percentile latency,phrase,4773.102508467163,ms
99.99th percentile latency,phrase,4825.409686206299,ms
100th percentile latency,phrase,4836.126990000139,ms
50th percentile service time,phrase,1.6290849999904822,ms
90th percentile service time,phrase,2.022671100075968,ms
99th percentile service time,phrase,42.30140698010929,ms
99.9th percentile service time,phrase,44.72258703002399,ms
99.99th percentile service time,phrase,49.89801962605659,ms
100th percentile service time,phrase,50.419549000025654,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,157.63,ops/s
Mean Throughput,country_agg_uncached,158.21,ops/s
Median Throughput,country_agg_uncached,158.24,ops/s
Max Throughput,country_agg_uncached,158.65,ops/s
50th percentile latency,country_agg_uncached,100371.40603400007,ms
90th percentile latency,country_agg_uncached,116284.50036999995,ms
99th percentile latency,country_agg_uncached,119690.46911312015,ms
99.9th percentile latency,country_agg_uncached,120370.43509958009,ms
100th percentile latency,country_agg_uncached,120669.18405399997,ms
50th percentile service time,country_agg_uncached,386.5619699998888,ms
90th percentile service time,country_agg_uncached,496.41172879998976,ms
99th percentile service time,country_agg_uncached,566.5649899598385,ms
99.9th percentile service time,country_agg_uncached,635.2985548969815,ms
100th percentile service time,country_agg_uncached,715.6641229998968,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2328.51,pages/s
Mean Throughput,scroll,2337.69,pages/s
Median Throughput,scroll,2337.87,pages/s
Max Throughput,scroll,2340.40,pages/s
50th percentile latency,scroll,170971.65666399972,ms
90th percentile latency,scroll,198220.04866049992,ms
99th percentile latency,scroll,203882.17774336998,ms
99.9th percentile latency,scroll,205116.7096435761,ms
100th percentile latency,scroll,205712.6908180003,ms
50th percentile service time,scroll,629.5706930000051,ms
90th percentile service time,scroll,773.5513289000211,ms
99th percentile service time,scroll,897.7114577997464,ms
99.9th percentile service time,scroll,989.3525187133563,ms
100th percentile service time,scroll,1067.917112000032,ms
error rate,scroll,0.00,%
