Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.225466666666668,min
Min cumulative indexing time across primary shards,,2.718233333333333,min
Median cumulative indexing time across primary shards,,2.7193833333333335,min
Max cumulative indexing time across primary shards,,2.7878499999999997,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.630933333333333,min
Cumulative merge count of primary shards,,74,
Min cumulative merge time across primary shards,,1.0960500000000002,min
Median cumulative merge time across primary shards,,1.1213833333333334,min
Max cumulative merge time across primary shards,,1.4135,min
Cumulative merge throttle time of primary shards,,1.5916833333333333,min
Min cumulative merge throttle time across primary shards,,0.4522333333333333,min
Median cumulative merge throttle time across primary shards,,0.5151333333333333,min
Max cumulative merge throttle time across primary shards,,0.6243166666666667,min
Cumulative refresh time of primary shards,,0.37576666666666664,min
Cumulative refresh count of primary shards,,54,
Min cumulative refresh time across primary shards,,0.10028333333333334,min
Median cumulative refresh time across primary shards,,0.13399999999999998,min
Max cumulative refresh time across primary shards,,0.14148333333333335,min
Cumulative flush time of primary shards,,0.25185,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.07395,min
Median cumulative flush time across primary shards,,0.07701666666666668,min
Max cumulative flush time across primary shards,,0.10088333333333334,min
Total Young Gen GC time,,2.122,s
Total Young Gen GC count,,138,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.797738555818796,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,31,
error rate,index-append,0.00,%
Min Throughput,match-all,15519.19,ops/s
Mean Throughput,match-all,17327.70,ops/s
Median Throughput,match-all,17782.79,ops/s
Max Throughput,match-all,18137.03,ops/s
50th percentile latency,match-all,3375.394505000031,ms
90th percentile latency,match-all,4738.357958300071,ms
99th percentile latency,match-all,6581.185841940058,ms
99.9th percentile latency,match-all,6688.671023317008,ms
99.99th percentile latency,match-all,6715.054821656491,ms
100th percentile latency,match-all,6720.022110000173,ms
50th percentile service time,match-all,0.9064170000101512,ms
90th percentile service time,match-all,1.2486456999113213,ms
99th percentile service time,match-all,67.06280442980642,ms
99.9th percentile service time,match-all,99.44962149307617,ms
99.99th percentile service time,match-all,188.79320811814353,ms
100th percentile service time,match-all,405.8271930000501,ms
error rate,match-all,0.00,%
Min Throughput,term,14037.98,ops/s
Mean Throughput,term,15889.76,ops/s
Median Throughput,term,15743.62,ops/s
Max Throughput,term,17273.24,ops/s
50th percentile latency,term,3345.5088915000033,ms
90th percentile latency,term,4608.6749722999,ms
99th percentile latency,term,6035.249773749898,ms
99.9th percentile latency,term,6120.671462105293,ms
99.99th percentile latency,term,6151.268114945293,ms
100th percentile latency,term,6157.320372000186,ms
50th percentile service time,term,0.9850259998529509,ms
90th percentile service time,term,1.4147009999987858,ms
99th percentile service time,term,62.96881509001878,ms
99.9th percentile service time,term,107.40660169892534,ms
99.99th percentile service time,term,133.98821965526025,ms
100th percentile service time,term,187.3432679999496,ms
error rate,term,0.00,%
Min Throughput,phrase,14980.36,ops/s
Mean Throughput,phrase,16271.76,ops/s
Median Throughput,phrase,16383.79,ops/s
Max Throughput,phrase,17372.65,ops/s
50th percentile latency,phrase,3345.0571035000394,ms
90th percentile latency,phrase,4718.866754400096,ms
99th percentile latency,phrase,6039.161059700132,ms
99.9th percentile latency,phrase,6115.057610847096,ms
99.99th percentile latency,phrase,6148.04754736154,ms
100th percentile latency,phrase,6153.98331900019,ms
50th percentile service time,phrase,1.0294159999375552,ms
90th percentile service time,phrase,1.3714233999962744,ms
99th percentile service time,phrase,62.01211028007947,ms
99.9th percentile service time,phrase,93.99243475808183,ms
99.99th percentile service time,phrase,102.43718580236727,ms
100th percentile service time,phrase,160.64632899997378,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,262.26,ops/s
Mean Throughput,country_agg_uncached,264.50,ops/s
Median Throughput,country_agg_uncached,264.64,ops/s
Max Throughput,country_agg_uncached,265.91,ops/s
50th percentile latency,country_agg_uncached,59275.34122199995,ms
90th percentile latency,country_agg_uncached,68656.09481980003,ms
99th percentile latency,country_agg_uncached,70722.08708857016,ms
99.9th percentile latency,country_agg_uncached,71027.74442237508,ms
100th percentile latency,country_agg_uncached,71230.73052900008,ms
50th percentile service time,country_agg_uncached,221.2137564999921,ms
90th percentile service time,country_agg_uncached,296.9887429999972,ms
99th percentile service time,country_agg_uncached,359.41130173997414,ms
99.9th percentile service time,country_agg_uncached,409.63939283504226,ms
100th percentile service time,country_agg_uncached,449.8422109998046,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,2021.84,pages/s
Mean Throughput,scroll,2052.22,pages/s
Median Throughput,scroll,2050.25,pages/s
Max Throughput,scroll,2091.69,pages/s
50th percentile latency,scroll,195372.92661099992,ms
90th percentile latency,scroll,228985.1454022001,ms
99th percentile latency,scroll,236000.83672384013,ms
99.9th percentile latency,scroll,236714.00440673615,ms
100th percentile latency,scroll,236960.0633120001,ms
50th percentile service time,scroll,799.6879054999226,ms
90th percentile service time,scroll,910.717336699895,ms
99th percentile service time,scroll,1119.811370270004,ms
99.9th percentile service time,scroll,1215.09133910009,ms
100th percentile service time,scroll,1311.2597819999792,ms
error rate,scroll,0.00,%
