Metric,Task,Value,Unit
Cumulative indexing time of primary shards,,8.290716666666667,min
Min cumulative indexing time across primary shards,,2.677833333333333,min
Median cumulative indexing time across primary shards,,2.790133333333333,min
Max cumulative indexing time across primary shards,,2.82275,min
Cumulative indexing throttle time of primary shards,,0,min
Min cumulative indexing throttle time across primary shards,,0,min
Median cumulative indexing throttle time across primary shards,,0,min
Max cumulative indexing throttle time across primary shards,,0,min
Cumulative merge time of primary shards,,3.6290666666666667,min
Cumulative merge count of primary shards,,71,
Min cumulative merge time across primary shards,,0.9995999999999999,min
Median cumulative merge time across primary shards,,1.2568166666666667,min
Max cumulative merge time across primary shards,,1.37265,min
Cumulative merge throttle time of primary shards,,0.8407,min
Min cumulative merge throttle time across primary shards,,0.16726666666666665,min
Median cumulative merge throttle time across primary shards,,0.3143166666666667,min
Max cumulative merge throttle time across primary shards,,0.3591166666666667,min
Cumulative refresh time of primary shards,,0.5157333333333333,min
Cumulative refresh count of primary shards,,54,
Min cumulative refresh time across primary shards,,0.13520000000000001,min
Median cumulative refresh time across primary shards,,0.18785000000000002,min
Max cumulative refresh time across primary shards,,0.19268333333333335,min
Cumulative flush time of primary shards,,0.41625,min
Cumulative flush count of primary shards,,9,
Min cumulative flush time across primary shards,,0.08238333333333332,min
Median cumulative flush time across primary shards,,0.14366666666666666,min
Max cumulative flush time across primary shards,,0.1902,min
Total Young Gen GC time,,1.751,s
Total Young Gen GC count,,139,
Total Old Gen GC time,,0,s
Total Old Gen GC count,,0,
Doc count,,11396503,
Store size,,5.705958827398717,GB
Translog size,,3.073364496231079e-07,GB
Heap used for segments,,0,MB
Heap used for doc values,,0,MB
Heap used for terms,,0,MB
Heap used for norms,,0,MB
Heap used for points,,0,MB
Heap used for stored fields,,0,MB
Segment count,,27,
error rate,index-append,0.00,%
Min Throughput,match-all,11611.07,ops/s
Mean Throughput,match-all,13356.92,ops/s
Median Throughput,match-all,13672.45,ops/s
Max Throughput,match-all,14783.37,ops/s
50th percentile latency,match-all,4197.930994000103,ms
90th percentile latency,match-all,7493.254193299936,ms
99th percentile latency,match-all,7949.382501229885,ms
99.9th percentile latency,match-all,8062.820696762926,ms
99.99th percentile latency,match-all,8100.537512791366,ms
100th percentile latency,match-all,8107.944158000009,ms
50th percentile service time,match-all,2.0662524999579546,ms
90th percentile service time,match-all,7.346820799853045,ms
99th percentile service time,match-all,53.77663519002913,ms
99.9th percentile service time,match-all,90.36620827695135,ms
99.99th percentile service time,match-all,290.2144412651444,ms
100th percentile service time,match-all,497.5221069998952,ms
error rate,match-all,0.00,%
Min Throughput,term,12537.18,ops/s
Mean Throughput,term,14116.15,ops/s
Median Throughput,term,14664.63,ops/s
Max Throughput,term,15221.74,ops/s
50th percentile latency,term,4147.3148649999985,ms
90th percentile latency,term,7002.546011900108,ms
99th percentile latency,term,7343.21168909999,ms
99.9th percentile latency,term,7399.202024595959,ms
99.99th percentile latency,term,7441.041241396916,ms
100th percentile latency,term,7449.546800999997,ms
50th percentile service time,term,1.8762654999591177,ms
90th percentile service time,term,5.3081586000644165,ms
99th percentile service time,term,68.57971466995227,ms
99.9th percentile service time,term,91.95298874708203,ms
99.99th percentile service time,term,159.67098134437452,ms
100th percentile service time,term,591.4109640000333,ms
error rate,term,0.00,%
Min Throughput,phrase,12516.74,ops/s
Mean Throughput,phrase,14755.91,ops/s
Median Throughput,phrase,15467.18,ops/s
Max Throughput,phrase,15752.78,ops/s
50th percentile latency,phrase,3901.853775500058,ms
90th percentile latency,phrase,6966.156914800081,ms
99th percentile latency,phrase,7306.137631499914,ms
99.9th percentile latency,phrase,7374.666374919171,ms
99.99th percentile latency,phrase,7394.926580997487,ms
100th percentile latency,phrase,7400.908516000072,ms
50th percentile service time,phrase,1.7998805000161155,ms
90th percentile service time,phrase,5.070621999948344,ms
99th percentile service time,phrase,77.65852897992318,ms
99.9th percentile service time,phrase,90.73645979690706,ms
99.99th percentile service time,phrase,132.51162640578562,ms
100th percentile service time,phrase,157.45995099996435,ms
error rate,phrase,0.00,%
Min Throughput,country_agg_uncached,161.82,ops/s
Mean Throughput,country_agg_uncached,162.42,ops/s
Median Throughput,country_agg_uncached,162.47,ops/s
Max Throughput,country_agg_uncached,162.83,ops/s
50th percentile latency,country_agg_uncached,97873.38652349991,ms
90th percentile latency,country_agg_uncached,113373.16204269983,ms
99th percentile latency,country_agg_uncached,116767.89670070994,ms
99.9th percentile latency,country_agg_uncached,117232.96581260899,ms
100th percentile latency,country_agg_uncached,117365.20989400015,ms
50th percentile service time,country_agg_uncached,381.3204415000655,ms
90th percentile service time,country_agg_uncached,443.00277999993807,ms
99th percentile service time,country_agg_uncached,534.6140041801599,ms
99.9th percentile service time,country_agg_uncached,595.6837773889441,ms
100th percentile service time,country_agg_uncached,623.5950259999754,ms
error rate,country_agg_uncached,0.00,%
Min Throughput,scroll,1695.04,pages/s
Mean Throughput,scroll,1711.19,pages/s
Median Throughput,scroll,1711.17,pages/s
Max Throughput,scroll,1719.30,pages/s
50th percentile latency,scroll,233568.88704949984,ms
90th percentile latency,scroll,270078.8916419,ms
99th percentile latency,scroll,277549.8168821702,ms
99.9th percentile latency,scroll,278539.3823638111,ms
100th percentile latency,scroll,279051.2264980002,ms
50th percentile service time,scroll,867.3920785000746,ms
90th percentile service time,scroll,1047.5722395998673,ms
99th percentile service time,scroll,1282.0390494399278,ms
99.9th percentile service time,scroll,1485.8570778670364,ms
100th percentile service time,scroll,1596.6746290000629,ms
error rate,scroll,0.00,%
